course,humidity_jan,humidity_feb,humidity_mar,humidity_apr,humidity_may,humidity_jun,humidity_jul,humidity_aug,humidity_sep,humidity_oct,humidity_nov,humidity_dec
Bathgate Golf Club,0.88,0.84,0.81,0.78,0.76,0.77,0.78,0.81,0.82,0.85,0.87,0.88
Berkshire Country Club,0.43,0.38,0.28,0.18,0.15,0.13,0.25,0.29,0.28,0.29,0.33,0.48
Bramble Heath Golf Club,0.71,0.67,0.69,0.65,0.62,0.67,0.7,0.7,0.65,0.64,0.67,0.72
Cape National,0.7,0.67,0.68,0.68,0.73,0.76,0.75,0.75,0.76,0.73,0.73,0.71
Cardinal Park Golf Club,0.75,0.74,0.69,0.65,0.65,0.69,0.69,0.71,0.66,0.68,0.72,0.75
Cherry Highlands National,0.79,0.8,0.78,0.72,0.7,0.69,0.74,0.74,0.71,0.7,0.76,0.78
Cherry Hollow Golf Course,0.67,0.64,0.66,0.65,0.69,0.7,0.67,0.7,0.72,0.72,0.73,0.71
Coolidge Country Club,0.64,0.65,0.66,0.64,0.65,0.65,0.63,0.62,0.62,0.64,0.67,0.67
Dale Aspen Golf Club,0.49,0.41,0.31,0.23,0.2,0.18,0.33,0.37,0.36,0.38,0.41,0.5
Deer Heath Golf Club,0.86,0.83,0.81,0.76,0.73,0.73,0.7,0.72,0.79,0.84,0.86,0.85
Emerson Country Club,0.71,0.69,0.72,0.7,0.72,0.77,0.79,0.81,0.78,0.73,0.72,0.74
Fresno Country Club,0.73,0.72,0.61,0.47,0.36,0.29,0.29,0.31,0.34,0.45,0.61,0.7
Grouse Meadow National,0.75,0.71,0.7,0.68,0.7,0.74,0.73,0.75,0.75,0.76,0.77,0.77
Heather Wood Resort,0.68,0.68,0.64,0.62,0.63,0.67,0.66,0.67,0.61,0.61,0.64,0.68
Highlands Country Club,0.75,0.72,0.71,0.67,0.68,0.71,0.7,0.72,0.71,0.72,0.74,0.74
Jaén Golf Club,0.76,0.7,0.65,0.62,0.54,0.44,0.35,0.37,0.49,0.63,0.71,0.76
Kilkenny Golf Club,0.87,0.84,0.81,0.77,0.76,0.75,0.77,0.79,0.82,0.85,0.87,0.87
Lake Amberwood Country Club,0.71,0.75,0.74,0.73,0.71,0.72,0.69,0.65,0.64,0.65,0.7,0.7
Larkspur Golf Club,0.72,0.71,0.72,0.72,0.7,0.72,0.73,0.69,0.69,0.68,0.7,0.72
Milton Keynes Golf Club (Championship),0.87,0.83,0.79,0.75,0.74,0.73,0.71,0.74,0.77,0.82,0.87,0.87
Nelson Country Club,0.67,0.64,0.67,0.67,0.72,0.74,0.71,0.73,0.75,0.74,0.74,0.71
Nelson Park,0.85,0.83,0.81,0.75,0.69,0.62,0.52,0.53,0.58,0.74,0.83,0.86
Otter Cove Park,0.75,0.74,0.76,0.74,0.74,0.73,0.7,0.71,0.69,0.69,0.72,0.74
Pheasant Valley Country Club,0.74,0.73,0.68,0.65,0.66,0.68,0.68,0.7,0.68,0.69,0.72,0.73
Royal Broxburn Golf Club,0.88,0.84,0.81,0.78,0.77,0.77,0.78,0.81,0.82,0.85,0.87,0.88
Royal Rochdale Golf Club,0.89,0.85,0.81,0.78,0.77,0.78,0.78,0.81,0.83,0.86,0.89,0.89
Royal Telford Golf Club,0.87,0.83,0.79,0.76,0.75,0.74,0.74,0.77,0.79,0.83,0.87,0.87
Shizuoka Country Club,0.64,0.66,0.68,0.74,0.8,0.86,0.87,0.86,0.83,0.79,0.75,0.67
Springfield Country Club,0.66,0.62,0.64,0.62,0.68,0.71,0.66,0.68,0.71,0.72,0.72,0.69
Trout Fields Golf Club,0.84,0.83,0.8,0.75,0.72,0.7,0.65,0.65,0.73,0.82,0.84,0.83
Vale Sycamore Country Club,0.69,0.66,0.68,0.68,0.68,0.68,0.72,0.68,0.64,0.65,0.69,0.73
Walnut Creek Country Club,0.53,0.5,0.45,0.43,0.45,0.38,0.37,0.4,0.39,0.45,0.47,0.54
Woodlands Country Club,0.51,0.51,0.48,0.48,0.48,0.42,0.4,0.41,0.42,0.49,0.48,0.53
