city,country,month,month_num,temperature_2m_mean,windspeed_10m_mean,precipitation_sum,relative_humidity_2m_mean,cloudcover_mean
Lahinch,Ireland,January,1,41.76,18.95,1.79,84.79,67.04
Lahinch,Ireland,February,2,46.8,17.38,3.62,87.88,80.28
Lahinch,Ireland,March,3,46.68,19.99,3.4,82.9,75.52
Lahinch,Ireland,April,4,50.13,19.14,1.92,79.12,72.44
Lahinch,Ireland,May,5,55.25,14.57,1.56,79.82,74.12
Lahinch,Ireland,June,6,56.22,16.85,1.12,76.92,73.53
Lahinch,Ireland,July,7,58.9,15.55,1.11,80.36,79.54
Lahinch,Ireland,August,8,60.14,20.55,1.91,80.17,75.71
Lahinch,Ireland,September,9,56.38,15.78,1.51,81.2,71.85
Lahinch,Ireland,October,10,53.45,17.32,2.25,85.19,74.16
Lahinch,Ireland,November,11,48.73,15.29,4.0,90.0,82.21
Lahinch,Ireland,December,12,46.75,20.0,2.3,87.1,78.61
Ballybunion,Ireland,January,1,41.61,16.99,3.15,84.7,67.98
Ballybunion,Ireland,February,2,47.34,16.72,5.45,87.58,82.0
Ballybunion,Ireland,March,3,46.9,17.89,5.78,83.1,77.24
Ballybunion,Ireland,April,4,50.09,17.23,2.86,79.9,74.14
Ballybunion,Ireland,May,5,55.21,13.2,2.2,79.75,73.35
Ballybunion,Ireland,June,6,56.25,14.73,1.86,77.36,73.21
Ballybunion,Ireland,July,7,58.89,13.95,1.82,80.78,79.65
Ballybunion,Ireland,August,8,60.19,18.43,2.97,81.03,75.91
Ballybunion,Ireland,September,9,56.39,13.58,2.46,82.29,72.8
Ballybunion,Ireland,October,10,53.5,15.75,4.76,85.69,75.28
Ballybunion,Ireland,November,11,49.23,14.37,5.12,89.59,82.62
Ballybunion,Ireland,December,12,47.1,18.26,3.58,87.14,78.84
Tralee,Ireland,January,1,41.88,17.02,3.67,84.32,68.58
Tralee,Ireland,February,2,47.91,17.79,5.77,87.08,82.09
Tralee,Ireland,March,3,47.13,18.07,7.25,83.22,77.91
Tralee,Ireland,April,4,50.04,17.07,3.47,80.73,74.92
Tralee,Ireland,May,5,55.11,12.77,2.17,80.05,73.45
Tralee,Ireland,June,6,56.12,14.29,2.15,78.26,74.05
Tralee,Ireland,July,7,58.75,13.74,2.16,81.6,79.16
Tralee,Ireland,August,8,60.16,18.66,3.73,82.23,76.55
Tralee,Ireland,September,9,56.56,13.34,2.7,82.88,74.72
Tralee,Ireland,October,10,53.72,15.55,6.13,86.06,75.44
Tralee,Ireland,November,11,49.84,15.22,5.73,88.99,82.89
Tralee,Ireland,December,12,47.63,18.54,3.96,87.05,79.84
Waterville,Ireland,January,1,43.57,17.86,4.12,79.86,67.9
Waterville,Ireland,February,2,49.08,20.19,5.97,85.52,82.81
Waterville,Ireland,March,3,47.93,21.35,8.42,82.1,78.47
Waterville,Ireland,April,4,50.13,17.6,4.02,80.84,74.02
Waterville,Ireland,May,5,54.85,14.04,2.08,79.73,74.18
Waterville,Ireland,June,6,55.56,15.26,2.41,79.78,72.23
Waterville,Ireland,July,7,58.19,14.13,2.46,83.43,75.24
Waterville,Ireland,August,8,59.88,18.64,4.6,84.09,79.38
Waterville,Ireland,September,9,57.16,15.03,2.88,80.58,73.01
Waterville,Ireland,October,10,54.58,16.45,7.43,84.42,76.75
Waterville,Ireland,November,11,51.69,16.99,6.45,85.22,83.46
Waterville,Ireland,December,12,49.06,19.8,4.31,84.26,82.34
Dingle,Ireland,January,1,43.42,17.64,4.27,80.16,66.05
Dingle,Ireland,February,2,49.05,19.96,6.16,85.45,83.03
Dingle,Ireland,March,3,47.8,20.59,8.54,82.14,78.67
Dingle,Ireland,April,4,50.12,17.33,4.13,80.89,75.8
Dingle,Ireland,May,5,54.87,13.71,2.14,79.59,72.71
Dingle,Ireland,June,6,55.6,15.11,2.5,79.61,73.03
Dingle,Ireland,July,7,58.22,13.9,2.53,83.25,76.79
Dingle,Ireland,August,8,59.93,18.4,4.71,83.82,78.71
Dingle,Ireland,September,9,57.11,14.75,2.97,80.78,72.66
Dingle,Ireland,October,10,54.51,16.18,7.7,84.53,76.55
Dingle,Ireland,November,11,51.5,16.43,7.11,85.47,82.98
Dingle,Ireland,December,12,48.97,19.56,4.43,84.44,81.56
Clifden,Ireland,January,1,43.65,25.82,0.14,83.23,64.26
Clifden,Ireland,February,2,46.84,25.26,0.39,87.46,71.74
Clifden,Ireland,March,3,46.27,24.65,0.87,83.9,71.43
Clifden,Ireland,April,4,49.42,23.43,1.06,81.75,68.37
Clifden,Ireland,May,5,54.49,17.53,0.22,82.98,75.46
Clifden,Ireland,June,6,54.99,21.59,0.2,80.93,76.28
Clifden,Ireland,July,7,57.95,18.52,0.45,83.74,75.4
Clifden,Ireland,August,8,59.32,26.29,1.16,84.13,76.26
Clifden,Ireland,September,9,56.74,20.15,0.12,80.72,70.64
Clifden,Ireland,October,10,54.03,23.76,0.11,85.97,69.83
Clifden,Ireland,November,11,49.61,20.3,3.17,88.03,81.3
Clifden,Ireland,December,12,47.6,28.87,0.27,86.62,80.8
Westport,Ireland,January,1,41.07,17.32,2.0,87.39,71.57
Westport,Ireland,February,2,45.04,17.29,1.91,88.63,80.34
Westport,Ireland,March,3,44.62,17.65,2.36,86.43,76.2
Westport,Ireland,April,4,47.91,17.02,1.68,82.9,72.46
Westport,Ireland,May,5,53.88,12.45,1.4,83.72,79.17
Westport,Ireland,June,6,53.8,15.31,0.86,81.02,80.22
Westport,Ireland,July,7,56.75,13.49,1.66,84.12,81.07
Westport,Ireland,August,8,57.49,17.86,3.84,85.52,78.97
Westport,Ireland,September,9,54.56,13.94,0.66,84.15,73.2
Westport,Ireland,October,10,51.74,16.02,1.81,88.94,75.95
Westport,Ireland,November,11,46.99,13.83,2.48,91.15,82.09
Westport,Ireland,December,12,45.21,19.34,1.87,88.98,81.98
Enniscrone,Ireland,January,1,41.23,18.57,1.22,83.01,66.72
Enniscrone,Ireland,February,2,45.58,17.71,1.45,85.74,77.43
Enniscrone,Ireland,March,3,45.77,18.95,2.67,82.76,77.1
Enniscrone,Ireland,April,4,48.15,18.14,1.57,80.03,71.94
Enniscrone,Ireland,May,5,55.58,13.33,0.93,79.79,78.28
Enniscrone,Ireland,June,6,55.87,15.18,0.57,75.92,75.06
Enniscrone,Ireland,July,7,58.72,14.5,0.87,79.66,78.19
Enniscrone,Ireland,August,8,60.08,18.7,0.86,76.53,69.95
Enniscrone,Ireland,September,9,54.55,15.44,1.19,83.89,72.12
Enniscrone,Ireland,October,10,52.71,16.39,1.3,82.45,70.57
Enniscrone,Ireland,November,11,47.17,14.37,1.62,88.08,75.64
Enniscrone,Ireland,December,12,45.5,19.15,1.1,85.76,75.84
Sligo,Ireland,January,1,40.98,18.16,3.85,85.1,74.48
Sligo,Ireland,February,2,44.81,16.93,3.08,88.2,82.31
Sligo,Ireland,March,3,44.57,18.08,3.61,88.66,81.53
Sligo,Ireland,April,4,47.53,17.09,2.7,89.02,72.93
Sligo,Ireland,May,5,54.53,13.36,2.27,85.47,77.65
Sligo,Ireland,June,6,53.97,16.41,2.15,80.23,82.45
Sligo,Ireland,July,7,56.96,13.22,3.26,82.89,84.29
Sligo,Ireland,August,8,57.54,17.2,5.73,83.66,77.33
Sligo,Ireland,September,9,54.62,14.44,1.44,82.55,69.84
Sligo,Ireland,October,10,51.89,14.96,2.9,85.75,74.71
Sligo,Ireland,November,11,47.05,13.72,3.14,89.3,85.01
Sligo,Ireland,December,12,45.36,19.06,3.16,86.52,82.6
Donegal,Ireland,January,1,41.26,18.16,4.23,84.86,75.54
Donegal,Ireland,February,2,45.07,17.12,3.02,85.36,82.72
Donegal,Ireland,March,3,44.9,18.01,3.58,83.69,80.87
Donegal,Ireland,April,4,47.89,17.37,2.98,80.85,74.45
