state,state_code,city,latitude,longitude
Alabama,AL,Birmingham,33.5206824,-86.8024326
Alabama,AL,Hoover,33.350293,-86.851123
Alabama,AL,Florence,34.79981,-87.677251
Alabama,AL,Alabaster,33.2442813,-86.8163773
Arizona,AZ,Phoenix,33.4484367,-112.074141
Arizona,AZ,Gilbert,33.3527632,-111.789037
Arizona,AZ,Yuma,32.723268,-114.6179954
Arizona,AZ,Lake Havasu City,34.4775296,-114.3379972
Arkansas,AR,Little Rock,34.7465071,-92.2896267
Arkansas,AR,North Little Rock,34.769536,-92.2670941
Arkansas,AR,Hot Springs,34.5038393,-93.0552437
Arkansas,AR,Russellville,35.2784173,-93.1337856
California,CA,Los Angeles,34.0536909,-118.242766
California,CA,Sacramento,38.5810606,-121.493895
California,CA,Santa Ana,33.7494951,-117.873221
California,CA,Fremont,37.5482697,-121.988571
Colorado,CO,Denver,39.7392364,-104.984862
Colorado,CO,Thornton,39.8695516,-104.985181
Colorado,CO,Boulder,40.0149856,-105.270545
Colorado,CO,Broomfield,39.9403995,-105.05208
Connecticut,CT,Bridgeport,41.1779095,-73.1867391
Connecticut,CT,Norwalk,41.1175966,-73.4078968
Connecticut,CT,Hamden,41.3836233,-72.9020069
Connecticut,CT,Milford,41.2225318,-73.059479
Delaware,DE,Wilmington,39.7459468,-75.546589
Delaware,DE,Milford,38.9130453,-75.4278733
Delaware,DE,Millsboro,38.5915023,-75.2913018
Delaware,DE,Lewes,38.7733961,-75.1379574
Florida,FL,Jacksonville,30.3321838,-81.655651
Florida,FL,Hialeah,25.8575963,-80.2781057
Florida,FL,Pembroke Pines,26.0061943,-80.2872086
Florida,FL,Miami Gardens,25.9420377,-80.2456045
Georgia,GA,Atlanta,33.7544657,-84.3898151
Georgia,GA,Athens,33.9597677,-83.376398
Georgia,GA,Warner Robins,32.6200973,-83.606568
Georgia,GA,Dunwoody,33.9463786,-84.3342686
Hawaii,HI,Honolulu,21.304547,-157.855676
Hawaii,HI,Waipahu,21.3866667,-158.009166
Hawaii,HI,Mililani Town,21.4508308,-158.0095783
Hawaii,HI,Wahiawa,21.5006241,-158.016672
Idaho,ID,Boise,43.6166163,-116.200886
Idaho,ID,Caldwell,43.6678736,-116.689415
Idaho,ID,Rexburg,43.8235163,-111.787022
Idaho,ID,Ammon,43.4768028,-111.9641319
Illinois,IL,Chicago,41.8755616,-87.6244212
Illinois,IL,Springfield,39.7990175,-89.6439575
Illinois,IL,Cicero,41.8455398,-87.7540199
Illinois,IL,Bolingbrook,41.7003302,-88.0717708
Indiana,IN,Indianapolis,39.7683331,-86.1583502
Indiana,IN,Bloomington,39.1670396,-86.5342881
Indiana,IN,Lafayette,40.4191229,-86.8919011
Indiana,IN,Greenwood,39.6136987,-86.1095429
Iowa,IA,Des Moines,41.5868654,-93.6249494
Iowa,IA,Waterloo,42.498275,-92.3328743
Iowa,IA,Ankeny,41.7320796,-93.605092
Iowa,IA,Mason City,43.1524574,-93.2017941
Kansas,KS,Wichita,37.6922361,-97.3375448
Kansas,KS,Shawnee,39.0273676,-95.7627535
Kansas,KS,Hutchinson,38.0608444,-97.9297743
Kansas,KS,Junction City,39.0286093,-96.8313978
Kentucky,KY,Louisville,38.2542376,-85.759407
Kentucky,KY,Richmond,37.7478572,-84.2946539
Kentucky,KY,Elizabethtown,37.693952,-85.8591285
Kentucky,KY,Ashland,38.4784144,-82.6379387
Louisiana,LA,New Orleans,29.9759983,-90.0782127
Louisiana,LA,Kenner,29.9942265,-90.2417806
Louisiana,LA,Houma,29.5957696,-90.7195348
Louisiana,LA,Natchitoches,31.7606732,-93.0860209
Maine,ME,Portland,43.6573605,-70.2586618
Maine,ME,Biddeford,43.4925843,-70.4533844
Maine,ME,Saco,43.5007555,-70.4429451
Maine,ME,York,43.4229305,-70.6546639
Maryland,MD,Baltimore,39.2908816,-76.610759
Maryland,MD,Hagerstown,39.6430455,-77.7191081
Maryland,MD,Greenbelt,39.004607,-76.8756838
Maryland,MD,Easton,38.7744625,-76.0763244
Massachusetts,MA,Boston,42.3554334,-71.060511
Massachusetts,MA,New Bedford,41.6362152,-70.934205
Massachusetts,MA,Newton,42.3370414,-71.2092214
Massachusetts,MA,Waltham,42.3762385,-71.2355644
Michigan,MI,Detroit,42.3315509,-83.0466403
Michigan,MI,Lansing,42.7338254,-84.5546295
Michigan,MI,Canton,42.7269261,-84.6433146
Michigan,MI,Kalamazoo,42.291707,-85.5872286
Minnesota,MN,Minneapolis,44.9772995,-93.2654692
Minnesota,MN,Brooklyn Park,45.1004807,-93.3443585
Minnesota,MN,Eden Prairie,44.8546856,-93.470786
Minnesota,MN,Apple Valley,44.7319094,-93.21772
