state,state_code,city,latitude,longitude
Hawaii,HI,Ewa Beach,21.315603,-158.008804
New Hampshire,NH,Dover,43.1981117,-70.8739761
Georgia,GA,Smyrna,33.883887,-84.5147454
West Virginia,WV,Clarksburg,39.2806451,-80.3445341
California,CA,Long Beach,33.7690164,-118.191604
Montana,MT,Hamilton,46.2472045,-114.1555462
Rhode Island,RI,West Warwick,41.7061296,-71.5221451
New Hampshire,NH,Lebanon,43.643032,-72.251587
New York,NY,Buffalo,42.8867166,-78.8783922
Florida,FL,Pompano Beach,26.2378597,-80.1247667
Vermont,VT,Newport,44.9367172,-72.2055988
California,CA,Oakland,37.8044557,-122.271356
Nevada,NV,Winnemucca,40.9724295,-117.734802
Illinois,IL,Bloomington,40.4797828,-88.9939147
Rhode Island,RI,Woonsocket,42.0028761,-71.5147839
Michigan,MI,Livonia,42.36837,-83.3527097
California,CA,San Bernardino,34.8253019,-116.0833144
New Jersey,NJ,Gloucester Township,39.7892305,-75.047652
Wyoming,WY,Worland,44.0168463,-107.955772
Kansas,KS,Dodge City,37.7527982,-100.0170787
Colorado,CO,Pueblo,38.263995,-104.6141867
Colorado,CO,Castle Rock,39.3722552,-104.858682
Utah,UT,Millcreek,40.6992918,-111.855583
Kentucky,KY,Georgetown,38.2099837,-84.5597128
Nebraska,NE,South Sioux City,42.4742963,-96.4135909
New York,NY,Hempstead,40.6736812,-73.6190736
South Carolina,SC,Charleston,32.7884363,-79.9399309
Utah,UT,Layton,41.0751048,-111.9741925
Maine,ME,Kennebunk,43.384092,-70.545273
Kansas,KS,Manhattan,39.1836082,-96.5716694
Arizona,AZ,Chandler,33.3062031,-111.841185
Arizona,AZ,Yuma,32.723268,-114.6179954
Mississippi,MS,Greenville,33.4111051,-91.0635857
Indiana,IN,Carmel,39.9784186,-86.1283681
Nevada,NV,West Wendover,40.7409656,-114.0751726
Nebraska,NE,Alliance,42.0971897,-102.8707145
Wyoming,WY,Rock Springs,41.5860557,-109.2194544
Vermont,VT,Swanton,44.9181593,-73.1242364
Wisconsin,WI,Madison,43.074761,-89.3837613
Minnesota,MN,Maplewood,45.0082216,-93.0456985
Kansas,KS,Hays,38.8709984,-99.3311525
Kansas,KS,Prairie Village,38.9914109,-94.6332768
Iowa,IA,Mason City,43.1524574,-93.2017941
Idaho,ID,Mountain Home,43.1329504,-115.691197
North Carolina,NC,Huntersville,35.4108278,-80.8429304
New Hampshire,NH,Bedford,42.9464737,-71.5159015
Oregon,OR,Redmond,44.2726203,-121.173921
Delaware,DE,Wilmington,39.7459468,-75.546589
New Mexico,NM,Carlsbad,32.4257456,-104.237612
Maine,ME,Bangor,44.8016255,-68.7713289
Virginia,VA,Portsmouth,36.8320081,-76.297699
New Mexico,NM,Las Vegas,35.5939325,-105.223896
Arizona,AZ,Oro Valley,32.4000525,-110.955317
South Dakota,SD,Spearfish,44.490817,-103.85937
Kentucky,KY,Nicholasville,37.8806341,-84.5729961
Kentucky,KY,Independence,38.9431183,-84.544109
Rhode Island,RI,Barrington,41.7407661,-71.3084633
Arkansas,AR,Cabot,34.974532,-92.0165336
Massachusetts,MA,Haverhill,42.7777829,-71.0767724
Kansas,KS,Hutchinson,38.0608444,-97.9297743
Iowa,IA,Burlington,40.8126922,-91.1020205
Idaho,ID,Post Falls,47.7110106,-116.9480877
