state,state_code,city,latitude,longitude
Alabama,AL,Alabaster,33.2442813,-86.8163773
Alabama,AL,Auburn,32.6098566,-85.4807825
Arizona,AZ,Avondale,33.4355977,-112.349602
Arizona,AZ,Buckeye,33.3703197,-112.583776
Arkansas,AR,Bella Vista,36.4678036,-94.2669727
Arkansas,AR,Benton,36.3456186,-94.2670404
California,CA,Anaheim,33.8347516,-117.911732
California,CA,Bakersfield,35.3738712,-119.019463
Colorado,CO,Arvada,39.8005505,-105.0811573
Colorado,CO,Aurora,39.7405111,-104.830994
Connecticut,CT,Bridgeport,41.1779095,-73.1867391
Connecticut,CT,Bristol,41.681196,-72.9756853
Delaware,DE,Camden,39.1134458,-75.5418687
Delaware,DE,Clayton,39.2906671,-75.6343727
Florida,FL,Cape Coral,26.5625742,-81.9438802
Florida,FL,Clearwater,27.9658533,-82.8001026
Georgia,GA,Albany,31.5782062,-84.1556809
Georgia,GA,Alpharetta,34.0709576,-84.2747329
Hawaii,HI,East Honolulu,21.2891309,-157.7173915
Hawaii,HI,Ewa Beach,21.315603,-158.008804
Idaho,ID,Ammon,43.4768028,-111.9641319
Idaho,ID,Boise,43.6166163,-116.200886
Illinois,IL,Arlington Heights,42.0811563,-87.9802164
Illinois,IL,Aurora,41.7571701,-88.3147539
Indiana,IN,Anderson,40.1053196,-85.6802541
Indiana,IN,Bloomington,39.1670396,-86.5342881
Iowa,IA,Ames,42.0267567,-93.6170448
Iowa,IA,Ankeny,41.7320796,-93.605092
Kansas,KS,Derby,37.5455735,-97.2689331
Kansas,KS,Dodge City,37.7527982,-100.0170787
Kentucky,KY,Ashland,38.4784144,-82.6379387
Kentucky,KY,Bowling Green,36.9903199,-86.4436018
Louisiana,LA,Alexandria,31.3119463,-92.4453558
Louisiana,LA,Baton Rouge,30.4494155,-91.1869659
Maine,ME,Auburn,44.0965374,-70.2249487
Maine,ME,Augusta,44.3158847,-69.7738995
Maryland,MD,Aberdeen,39.5120347,-76.1643289
Maryland,MD,Annapolis,38.9786401,-76.492786
Massachusetts,MA,Boston,42.3554334,-71.060511
Massachusetts,MA,Brockton,42.0834335,-71.0183787
Michigan,MI,Ann Arbor,42.2813722,-83.7484616
Michigan,MI,Canton,42.7269261,-84.6433146
Minnesota,MN,Apple Valley,44.7319094,-93.21772
Minnesota,MN,Blaine,45.1607987,-93.2349489
Mississippi,MS,Biloxi,30.4007626,-88.8893818
Mississippi,MS,Brandon,32.2731475,-89.9868058
Missouri,MO,Ballwin,38.5961694,-90.5387318
Missouri,MO,Blue Springs,39.017316,-94.282265
Montana,MT,Anaconda,46.1294685,-112.953131
Montana,MT,Belgrade,45.773279,-111.184535
Nebraska,NE,Alliance,42.0971897,-102.8707145
Nebraska,NE,Beatrice,40.266429,-96.747369
Nevada,NV,Boulder City,35.9776606,-114.8377351
Nevada,NV,Caliente,37.6149601,-114.5105439
New Hampshire,NH,Bedford,42.9464737,-71.5159015
New Hampshire,NH,Berlin,44.4696602,-71.1810703
New Jersey,NJ,Brick,40.0707244,-74.1280562
New Jersey,NJ,Camden,39.9448402,-75.1198911
New Mexico,NM,Alamogordo,32.8998822,-105.9602081
New Mexico,NM,Albuquerque,35.0841034,-106.650985
New York,NY,Albany,42.6511674,-73.754968
New York,NY,Binghamton,42.098698,-75.9125187
North Carolina,NC,Asheville,35.595363,-82.5508407
North Carolina,NC,Burlington,36.0956918,-79.4377991
North Dakota,ND,Beulah,47.26334,-101.777946
North Dakota,ND,Bismarck,46.808327,-100.783739
Ohio,OH,Akron,41.083064,-81.518485
Ohio,OH,Canton,40.7985464,-81.3749508
Oklahoma,OK,Ardmore,34.1729273,-97.1309119
Oklahoma,OK,Bartlesville,36.7509272,-95.9771779
Oregon,OR,Albany,44.6365071,-123.1059324
Oregon,OR,Beaverton,45.4871723,-122.80378
Pennsylvania,PA,Allentown,40.6022059,-75.4712794
Pennsylvania,PA,Altoona,40.5193586,-78.3968299
Rhode Island,RI,Barrington,41.7407661,-71.3084633
Rhode Island,RI,Bristol,41.6770463,-71.2661597
South Carolina,SC,Aiken,33.5723191,-81.6182086
South Carolina,SC,Anderson,34.5258335,-82.652962
South Dakota,SD,Aberdeen,45.4649805,-98.487813
South Dakota,SD,Belle Fourche,44.6731329,-103.8517342
Tennessee,TN,Bartlett,35.2045329,-89.8739753
Tennessee,TN,Brentwood,36.0325687,-86.7825235
Texas,TX,Amarillo,35.20729,-101.8371192
Texas,TX,Arlington,32.7355816,-97.1071186
Utah,UT,Bountiful,40.8894611,-111.8804817
Utah,UT,Draper,40.5247777,-111.8627989
Vermont,VT,Barre,44.1969042,-72.5007458
Vermont,VT,Bennington,42.8788667,-73.1968205
Virginia,VA,Alexandria,38.8051095,-77.0470229
Virginia,VA,Blacksburg,37.2296566,-80.4136767
Washington,WA,Auburn,47.3075369,-122.2301808
Washington,WA,Bellevue,47.6144219,-122.192337
West Virginia,WV,Beckley,37.7781702,-81.1881557
West Virginia,WV,Bluefield,37.2698395,-81.2223195
Wisconsin,WI,Appleton,44.2613967,-88.4069744
Wisconsin,WI,Beloit,42.5083272,-89.031784
Wyoming,WY,Buffalo,44.3480865,-106.699287
Wyoming,WY,Casper,42.8501191,-106.325138
