course_name,city,state_country,location,total_par,h01_par,h01_yards,h01_hcp,h02_par,h02_yards,h02_hcp,h03_par,h03_yards,h03_hcp,h04_par,h04_yards,h04_hcp,h05_par,h05_yards,h05_hcp,h06_par,h06_yards,h06_hcp,h07_par,h07_yards,h07_hcp,h08_par,h08_yards,h08_hcp,h09_par,h09_yards,h09_hcp,f9_par,f9_yards,h10_par,h10_yards,h10_hcp,h11_par,h11_yards,h11_hcp,h12_par,h12_yards,h12_hcp,h13_par,h13_yards,h13_hcp,h14_par,h14_yards,h14_hcp,h15_par,h15_yards,h15_hcp,h16_par,h16_yards,h16_hcp,h17_par,h17_yards,h17_hcp,h18_par,h18_yards,h18_hcp,b9_par,b9_yards,total_yardage,course_rating,slope_rating,prestige_level,est_year,created_at,elevation,course_id,temp_factor,humidity_factor,wind_factor,rain_factor,cloud_factor,design_strategy,narrowness_factor,hazard_density,green_speed,turf_firmness,rough_length,crowd_factor,elevation_factor,terrain_difficulty,temp_min_jan,temp_avg_jan,temp_max_jan,temp_min_feb,temp_avg_feb,temp_max_feb,temp_min_mar,temp_avg_mar,temp_max_mar,temp_min_apr,temp_avg_apr,temp_max_apr,temp_min_may,temp_avg_may,temp_max_may,temp_min_jun,temp_avg_jun,temp_max_jun,temp_min_jul,temp_avg_jul,temp_max_jul,temp_min_aug,temp_avg_aug,temp_max_aug,temp_min_sep,temp_avg_sep,temp_max_sep,temp_min_oct,temp_avg_oct,temp_max_oct,temp_min_nov,temp_avg_nov,temp_max_nov,temp_min_dec,temp_avg_dec,temp_max_dec,rain_prop_jan,rain_prop_feb,rain_prop_mar,rain_prop_apr,rain_prop_may,rain_prop_jun,rain_prop_jul,rain_prop_aug,rain_prop_sep,rain_prop_oct,rain_prop_nov,rain_prop_dec,wind_speed_min_jan,wind_speed_avg_jan,wind_speed_max_jan,wind_speed_min_feb,wind_speed_avg_feb,wind_speed_max_feb,wind_speed_min_mar,wind_speed_avg_mar,wind_speed_max_mar,wind_speed_min_apr,wind_speed_avg_apr,wind_speed_max_apr,wind_speed_min_may,wind_speed_avg_may,wind_speed_max_may,wind_speed_min_jun,wind_speed_avg_jun,wind_speed_max_jun,wind_speed_min_jul,wind_speed_avg_jul,wind_speed_max_jul,wind_speed_min_aug,wind_speed_avg_aug,wind_speed_max_aug,wind_speed_min_sep,wind_speed_avg_sep,wind_speed_max_sep,wind_speed_min_oct,wind_speed_avg_oct,wind_speed_max_oct,wind_speed_min_nov,wind_speed_avg_nov,wind_speed_max_nov,wind_speed_min_dec,wind_speed_avg_dec,wind_speed_max_dec,humidity_min_jan,humidiy_avg_jan,humidity_max_jan,humidity_min_feb,humidiy_avg_feb,humidity_max_feb,humidity_min_mar,humidiy_avg_mar,humidity_max_mar,humidity_min_apr,humidiy_avg_apr,humidity_max_apr,humidity_min_may,humidiy_avg_may,humidity_max_may,humidity_min_jun,humidiy_avg_jun,humidity_max_jun,humidity_min_jul,humidiy_avg_jul,humidity_max_jul,humidity_min_aug,humidiy_avg_aug,humidity_max_aug,humidity_min_sep,humidiy_avg_sep,humidity_max_sep,humidity_min_oct,humidiy_avg_oct,humidity_max_oct,humidity_min_nov,humidiy_avg_nov,humidity_max_nov,humidity_min_dec,humidiy_avg_dec,humidity_max_dec,cloud_cover_min_jan,cloud_cover_avg_jan,cloud_cover_max_jan,cloud_cover_min_feb,cloud_cover_avg_feb,cloud_cover_max_feb,cloud_cover_min_mar,cloud_cover_avg_mar,cloud_cover_max_mar,cloud_cover_min_apr,cloud_cover_avg_apr,cloud_cover_max_apr,cloud_cover_min_may,cloud_cover_avg_may,cloud_cover_max_may,cloud_cover_min_jun,cloud_cover_avg_jun,cloud_cover_max_jun,cloud_cover_min_jul,cloud_cover_avg_jul,cloud_cover_max_jul,cloud_cover_min_aug,cloud_cover_avg_aug,cloud_cover_max_aug,cloud_cover_min_sep,cloud_cover_avg_sep,cloud_cover_max_sep,cloud_cover_min_oct,cloud_cover_avg_oct,cloud_cover_max_oct,cloud_cover_min_nov,cloud_cover_avg_nov,cloud_cover_max_nov,cloud_cover_min_dec,cloud_cover_avg_dec,cloud_cover_max_dec
Nichols Hills Golf Club,Nichols Hills,OK (US),"Nichols Hills, OK (US)",72,5,607,15,3,231,11,4,497,1,4,477,17,4,408,9,4,415,5,4,493,3,3,142,13,5,619,7,36,3889,4,418,2,3,201,12,4,459,4,5,596,6,3,232,16,4,345,8,4,487,14,4,353,18,5,590,10,36,3681,7570,76.2458571428571,137.207857142857,0.22,2002,###,600.393700787402,###,0.5,0.785714285714286,0.333333333333333,0.4,0.45,0.88,0.51,0.25,0.55,0.77,0.64,0.79,0.96,0.3,32,42,52,38,48,58,44,54,64,50,60,70,56,66,76,62,72,82,68,78,88,62,72,82,56,66,76,50,60,70,44,54,64,38,48,58,0.189,0.216,0.243,0.27,0.297,0.324,0.351,0.324,0.297,0.27,0.243,0.216,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,8,10,15,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,55,65,75,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55
Lincoln Hunt Club,Lincoln,ND (US),"Lincoln, ND (US)",72,4,348,13,3,217,17,4,492,9,5,635,15,4,475,7,4,350,3,4,341,1,3,242,11,5,570,5,36,3670,4,352,10,3,232,2,4,389,4,4,417,14,5,599,18,3,240,6,4,501,12,4,407,16,5,632,8,36,3769,7439,73.8391696969697,129.752174242424,0.63,1908,###,4721.12860892388,###,0.293541666666667,0.8,0.266666666666667,0.409090909090909,0.495,0.43,0.29,0.43,0.68,0.97,0.2,0.41,0.34,0.76,26.2,36.2,46.2,31.4,41.4,51.4,36.6,46.6,56.6,41.7,51.7,61.7,46.9,56.9,66.9,52.1,62.1,72.1,57.3,67.3,77.3,52.1,62.1,72.1,46.9,56.9,66.9,41.7,51.7,61.7,36.6,46.6,56.6,31.4,41.4,51.4,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
TCC Palm Beach Gardens,Palm Beach Gardens,FL (US),"Palm Beach Gardens, FL (US)",71,5,647,8,3,143,2,4,466,12,3,135,16,4,426,4,4,436,10,5,515,14,3,164,18,4,481,6,35,3413,4,465,11,4,492,17,5,589,15,3,138,7,4,407,13,4,402,5,5,586,1,3,131,9,4,470,3,36,3680,7093,77.4036606060606,140.741251515152,0.35,1946,###,108.267716535433,###,0.837916666666667,1,0.0466666666666668,0.781818181818182,0.632,0.69,0.72,0.6,0.46,0.37,0.9,0.72,0.01,0.89,41.5,51.5,61.5,48.8,58.8,68.8,56.2,66.2,76.2,63.5,73.5,83.5,70.9,80.9,90.9,78.2,88.2,98.2,85.5,95.5,105.5,78.2,88.2,98.2,70.9,80.9,90.9,63.5,73.5,83.5,56.2,66.2,76.2,48.8,58.8,68.8,0.336,0.384,0.432,0.48,0.528,0.576,0.624,0.576,0.528,0.48,0.432,0.384,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732
Eden Prairie Club,Eden Prairie,MN (US),"Eden Prairie, MN (US)",71,5,568,9,4,497,15,3,147,13,4,421,17,4,398,5,4,403,11,3,203,3,4,373,7,4,433,1,35,3443,4,369,6,4,478,10,4,334,14,5,526,2,3,214,8,4,351,12,4,336,16,3,206,18,5,656,4,36,3470,6913,75.9695411255411,136.447745670996,0.81,1980,###,98.4251968503937,###,0.293541666666667,0.957142857142857,0.146666666666667,0.549090909090909,0.605,0.78,0.69,0.25,0.65,0.77,0.74,0.44,0.62,0.24,26.2,36.2,46.2,31.4,41.4,51.4,36.6,46.6,56.6,41.7,51.7,61.7,46.9,56.9,66.9,52.1,62.1,72.1,57.3,67.3,77.3,52.1,62.1,72.1,46.9,56.9,66.9,41.7,51.7,61.7,36.6,46.6,56.6,31.4,41.4,51.4,0.2464,0.2816,0.3168,0.352,0.3872,0.4224,0.4576,0.4224,0.3872,0.352,0.3168,0.2816,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
TCC Meridian,Meridian,ID (US),"Meridian, ID (US)",72,4,357,7,3,203,13,4,373,11,4,437,15,5,616,3,4,347,9,5,562,1,3,133,5,4,391,17,36,3419,5,662,4,4,369,8,4,400,12,5,504,6,3,127,18,4,338,10,4,469,14,3,173,16,4,450,2,36,3492,6911,75.2701696969697,134.406174242424,0.36,1914,###,823.490813648294,###,0.351041666666667,0.8,0.146666666666667,0.409090909090909,0.495,0.76,0.8,0.65,0.48,0.76,0.33,0.89,0.98,0.51,27.8,37.8,47.8,33.2,43.2,53.2,38.6,48.6,58.6,44,54,64,49.5,59.5,69.5,54.9,64.9,74.9,60.3,70.3,80.3,54.9,64.9,74.9,49.5,59.5,69.5,44,54,64,38.6,48.6,58.6,33.2,43.2,53.2,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Madisonville Athletic Club,Madisonville,LA (US),"Madisonville, LA (US)",72,5,561,5,3,238,11,4,351,9,4,431,13,4,404,17,5,634,1,4,364,7,3,146,3,4,369,15,36,3498,4,453,2,4,405,6,5,552,10,4,400,4,3,137,18,4,333,16,5,640,8,3,150,12,4,333,14,36,3403,6901,76.5078575757576,137.876243939394,0.69,1949,###,593.832020997375,###,0.758958333333333,1,0.0466666666666668,0.672727272727273,0.632,0.66,0.53,0.88,0.57,0.33,0.44,0.56,0.94,0.25,39.2,49.2,59.2,46.3,56.3,66.3,53.3,63.3,73.3,60.4,70.4,80.4,67.4,77.4,87.4,74.4,84.4,94.4,81.5,91.5,101.5,74.4,84.4,94.4,67.4,77.4,87.4,60.4,70.4,80.4,53.3,63.3,73.3,46.3,56.3,66.3,0.294,0.336,0.378,0.42,0.462,0.504,0.546,0.504,0.462,0.42,0.378,0.336,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,3.7,5.7,10.7,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,78,88,98,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732,0.532,0.632,0.732
Highlands Country Club,Highlands,ID (US),"Highlands, ID (US)",71,5,661,3,4,395,9,3,215,7,4,447,11,3,172,15,5,656,17,4,357,5,3,159,1,4,405,13,35,3467,5,583,18,4,424,4,4,490,8,5,512,2,3,183,16,4,427,14,4,478,6,3,132,10,4,454,12,36,3683,7150,76.5449696969697,138.545174242424,0.74,1945,###,1036.74540682415,###,0.351041666666667,0.8,0.146666666666667,0.409090909090909,0.495,0.82,0.31,0.34,0.41,0.99,0.87,0.98,0.06,0.86,27.8,37.8,47.8,33.2,43.2,53.2,38.6,48.6,58.6,44,54,64,49.5,59.5,69.5,54.9,64.9,74.9,60.3,70.3,80.3,54.9,64.9,74.9,49.5,59.5,69.5,44,54,64,38.6,48.6,58.6,33.2,43.2,53.2,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Mountain View National Golf Club,Mountain View,CA (US),"Mountain View, CA (US)",72,4,455,16,3,159,2,4,371,6,3,250,14,4,415,12,5,590,4,4,444,8,4,350,10,5,651,18,36,3685,5,664,1,4,360,7,3,164,5,5,615,9,4,477,13,3,223,15,4,358,3,4,442,17,4,498,11,36,3801,7486,74.9073363636364,132.946090909091,0.65,1998,###,331.364829396325,###,0.575,0.59,0.226666666666667,0.229090909090909,0.405,0.66,0.64,0.23,0.48,0.46,0.35,1,0.58,0.7,34.1,44.1,54.1,40.4,50.4,60.4,46.7,56.7,66.7,53,63,73,59.3,69.3,79.3,65.6,75.6,85.6,71.9,81.9,91.9,65.6,75.6,85.6,59.3,69.3,79.3,53,63,73,46.7,56.7,66.7,40.4,50.4,60.4,0.1232,0.1408,0.1584,0.176,0.1936,0.2112,0.2288,0.2112,0.1936,0.176,0.1584,0.1408,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,6.4,8.4,13.4,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,41.3,51.3,61.3,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505,0.305,0.405,0.505
Aspinwall National Golf Club,Aspinwall,PA (US),"Aspinwall, PA (US)",71,5,513,14,4,372,4,4,445,12,3,162,10,4,457,18,3,179,2,4,460,6,4,450,8,5,582,16,36,3620,5,613,5,3,214,3,4,495,7,3,137,11,4,388,13,3,134,1,4,491,17,4,489,15,5,548,9,35,3509,7129,75.3769805194805,134.575844155844,0.41,1991,###,101.706036745407,###,0.3125,0.757142857142857,0.306666666666667,0.447272727272727,0.495,0.35,0.57,0.78,0.58,0.97,0.59,0.23,1,0.77,26.8,36.8,46.8,32,42,52,37.2,47.2,57.2,42.5,52.5,62.5,47.8,57.8,67.8,53,63,73,58.2,68.2,78.2,53,63,73,47.8,57.8,67.8,42.5,52.5,62.5,37.2,47.2,57.2,32,42,52,0.2072,0.2368,0.2664,0.296,0.3256,0.3552,0.3848,0.3552,0.3256,0.296,0.2664,0.2368,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
TCC Triangle,Triangle,DE (US),"Triangle, DE (US)",71,4,476,17,4,407,3,4,444,1,3,177,5,5,546,9,4,371,11,4,422,15,3,124,13,5,608,7,36,3575,4,461,12,5,580,2,3,242,10,4,425,8,3,157,18,4,425,16,4,335,4,4,338,6,4,425,14,35,3388,6963,74.6210744588744,132.203579004329,0.59,1969,###,370.734908136483,###,0.168958333333333,0.807142857142857,0.253333333333333,0.649090909090909,0.605,0.46,0.2,0.33,0.45,0.5,0.35,0.91,0.5,0.52,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
