event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
INV_5,1,Sean Taylor,Jozsef Horváth,David Munoz,Tomas Brožová,Andrew Collins,David Ruiz,Jesse West,Darius Grimes,Ethan Cox,David Johnston
INV_5,2,Luis Arranz,Patrick Schmitz,Randall Miller,Leslie Moore,Jeffery Williams,Luke Clark,Andrew Collins,Tomas Brožová,Darius Grimes,Kevin Kent
INV_5,3,Karoly Molnár,Ethan Cox,Mark Estrada,Travis Callahan,Jeffery Williams,Francisco Guajardo,Jose Lucero,Joe Heath,Frank Cole,Patrick Schmitz
INV_5,4,Kaur Tamm,William Ortega,Ryan Hubbard,Mark Estrada,Tyler Maughan,Leslie Moore,Michael Johnson,Adam Milmo,Constantin Albu,Adam Williams
INV_5,5,Milan Paľovčík,Michael Davis,Adam Milmo,Mark Perry,Manuel Manning,Josh Boyce,Kevin Hensley,Luis Arranz,Tomas Brožová,Anthony Gaines
INV_5,6,Luis Arranz,Kevin Hensley,Jason Clark,Ryan Hubbard,David Munoz,Diogo Freitas,Karoly Molnár,Sean Taylor,Darius Grimes,Travis Callahan
INV_5,7,Leslie Moore,Tyler Maughan,Jeffery Williams,Bjorn Kjóisdóttir,Damon Peterson,Milan Paľovčík,Manuel Manning,Anthony Reid,James Dennis,Jesse West
INV_5,8,Eric Welch,Aidan Reardon,Juan Bird,Jesse West,Ryan Hubbard,Charles Leonard,Manuel Manning,Shane Harris,Patrick Schmitz,Jason Clark
INV_5,9,Peter Steiger,Patrick Schmitz,Huynh Phạm,Mariusz Machowicz,Pavel Čermák,Kevin Hensley,Ryan Hubbard,Eric Welch,Bryan Washington,Kaur Tamm
INV_5,10,Patrick Schmitz,Mark Estrada,Francisco Guajardo,Christian Henry,Callum Davison,Philip Hall,Bjorn Kjóisdóttir,Billy Williams,Zachary Patel,Darius Grimes
