event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
MAJ_4,1,Travis Callahan,Mark Estrada,Michael Johnson,Billy Williams,Diogo Freitas,Elliott Phillips,Luis Arranz,David Arreola,David Kennedy,Stephen Robinson
MAJ_4,2,Randall Miller,Leslie Moore,Elliott Phillips,Aaron Doyle,Sean Taylor,Constantin Albu,Cole Smith,Manuel Manning,Nathan Banks,James Dennis
MAJ_4,3,Ethan Cox,Bjorn Kjóisdóttir,William Ortega,Jesse West,Leslie Moore,Michael Davis,Karoly Molnár,Austin Love,Travis Callahan,Ryan Hubbard
MAJ_4,4,Nathan Banks,Vasile Tomescu,Frank Cole,Chad Jones,Sean Taylor,Travis Callahan,Duncan Wood,Christian Henry,Ethan Cox,Jesse West
MAJ_4,5,Conor Lee,Leonard Hamilton,Manuel Manning,Travis Callahan,Bjorn Kjóisdóttir,Michael Davis,Mark Perry,Karoly Molnár,Zachary Patel,Ethan Cox
MAJ_4,6,Brandon Baker,William Ortega,Christopher Dudley,Karoly Molnár,James Jennings,Russell Warner,Mark Estrada,Martin Simmons,Luke Clark,Aaron Doyle
MAJ_4,7,Constantin Albu,Jesse West,Conor Lee,Vasile Tomescu,Michael Russell,Aidan Reardon,Patrick Schmitz,Mark Estrada,Philip Hall,Travis Callahan
MAJ_4,8,Peter Steiger,James Dennis,Darrell Baker,Stephen Schwartz,Jeremy Freeman,Francisco Guajardo,Stephen Johnson,Eric Welch,Michael Jäkel,Timothy Hamilton
MAJ_4,9,Oliver Smith,Dennis Lyons,Kevin Kent,Stephen Johnson,Michael Crawford,Juan Bird,Ryan Hubbard,Aidan Reardon,Patrick Schmitz,Michael Jäkel
MAJ_4,10,Mark Perry,Bruce Ramirez,Miguel Loyola,David Morris,Constantin Albu,Darrell Baker,Duncan Wood,Brandon Baker,David Garcia,Ryan Hubbard
