event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
SIG_1,1,Patrick Schmitz,Randall Miller,David Munoz,Elliott Phillips,Andrew Collins,Tomas Brožová,David Ruiz,Travis Callahan,Jozsef Horváth,Karoly Molnár
SIG_1,2,Constantin Albu,Darius Grimes,Luis Arranz,Kyle Morales,Elliott Phillips,Mark Perry,Kevin Kent,Terence Heaney,Ethan Cox,Michael Davis
SIG_1,3,Harry Miles,Ethan Cox,Leslie Moore,Mark Estrada,Francisco Guajardo,Austin Love,Karoly Molnár,Jesse West,Aaron Doyle,Sean Taylor
SIG_1,4,Milan Paľovčík,Michael Davis,Jeffery Williams,Christian Henry,Leslie Moore,Kevin Kent,Ryan Hubbard,David Munoz,Brian Bush,Mark Estrada
SIG_1,5,Luke Clark,Austin Love,Tomas Brožová,Randall Miller,Pavel Čermák,Alexander Campbell,Peter Cook,Elliot Holmes,Terence Heaney,Kyle Morales
SIG_1,6,Aidan Reardon,Leslie Moore,Travis Callahan,Darius Grimes,William Ortega,Antanas Žukauskas,Michael Crawford,Conor Lee,Manuel Manning,Wolfgang Marte
SIG_1,7,Anthony Gaines,Timothy Hamilton,Martin Simmons,John Case,Jesse West,Jason Clark,Conor Lee,William Ortega,Adam Milmo,Elliott Phillips
SIG_1,8,Russell Warner,Vasile Tomescu,Eric Welch,Mark Estrada,Luis Arranz,Michael Davis,Patrick Schmitz,Anthony Gaines,Peter Steiger,Terence Heaney
SIG_1,9,Christian Henry,Terry Nguyen,Philip Hall,David Munoz,Conor Lee,Bjorn Kjóisdóttir,Harry Miles,Stephen Johnson,Bryan Washington,Kaur Tamm
SIG_1,10,Conor Lee,Eric Welch,Harry Miles,Bryan Lennon,Ryan Hubbard,Ethan Cox,Travis Callahan,Kevin Hensley,Antanas Žukauskas,Anthony Reid
