event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
MAJ2,1,Andrew Collins,Karoly Molnár,Jozsef Horváth,Dennis Lyons,David Ruiz,Nicholas Taylor,Zachary Patel,Stephen Robinson,Michael Griffith,Sean Taylor
MAJ2,2,Kyle Morales,Randall Miller,Patrick Schmitz,Frank Cole,Jozsef Horváth,Darius Grimes,Karoly Molnár,James Dennis,David Ruiz,Leslie Moore
MAJ2,3,Vasile Tomescu,Mark Estrada,Travis Callahan,Karoly Molnár,William Ortega,Jeffery Williams,David Kennedy,David Munoz,Malcolm Chambers,Ethan Cox
MAJ2,4,William Ortega,Diogo Freitas,Darrell Baker,Adam Williams,Ruari Magee,Adam Milmo,Anthony Gaines,Mark Estrada,Jeffrey Fernandez,Thomas Rogers
MAJ2,5,Aidan Reardon,Ante Jerič,Christopher Dudley,Karoly Molnár,Mark Estrada,Jeremy Freeman,Terence Heaney,Diogo Freitas,Adam Milmo,Leslie Moore
MAJ2,6,Adam Franco,Billy Williams,Aidan Reardon,Jason Clark,Travis Callahan,Constantin Albu,Jeffery Williams,Karoly Molnár,Ethan Cox,Philip Hall
MAJ2,7,Ryan Hubbard,Mark Estrada,Charles Leonard,Josh Boyce,Terry Nguyen,Tyler Maughan,Jose Lucero,Joe Heath,Constantin Albu,Martin Simmons
MAJ2,8,Michael Davis,Conor Lee,Manuel Manning,Constantin Albu,Jesse West,Adam Milmo,David Garcia,Kevin Hensley,Harry Miles,Martin Simmons
MAJ2,9,Adam Milmo,Dennis Lyons,James Jennings,James Dennis,Manuel Manning,Bjorn Kjóisdóttir,Darius Grimes,Duncan Wood,Joe Heath,Nathan Banks
MAJ2,10,Jesse West,Kyle Morales,Kevin Kent,James Jennings,Damon Peterson,Michael Jäkel,Jeffery Williams,Shane Harris,Evan Dasey,Conor Lee
MAJ3,1,Sean Taylor,Kaur Tamm,Mark Estrada,Tomas Brožová,Ethan Cox,David Ruiz,Joe Heath,Kevin Roberts,Jeremy Freeman,Andrew Collins
MAJ3,2,Kevin Kent,Elliott Phillips,Jeffery Williams,Vasile Tomescu,Constantin Albu,Luis Arranz,Harry Miles,Jozsef Horváth,Luke Clark,Frank Cole
MAJ3,3,Sean Taylor,Diogo Freitas,Travis Callahan,Josh Boyce,Widodo Ramadan,Francisco Guajardo,William Ortega,Jesse West,Aidan Reardon,Malcolm Chambers
MAJ3,4,Michael Davis,Kevin Kent,Tyler Maughan,Ante Jerič,Damon Peterson,William Ortega,Luke Clark,James Dennis,Austin Love,Anthony Reid
MAJ3,5,Patrick Schmitz,Vasile Tomescu,Michael Davis,Kevin Kent,Charles Leonard,Jesse West,Mark Estrada,Aidan Reardon,Joseph Black,Callum Davison
MAJ3,6,Luis Arranz,Travis Callahan,Patrick Schmitz,Zachary Patel,Jose Lucero,Leslie Moore,David Munoz,Jesse West,Jozsef Horváth,Juan Gaytán
MAJ3,7,Patrick Schmitz,Francisco Guajardo,Mark Estrada,Elliot Holmes,William Ortega,Constantin Albu,Darius Grimes,Billy Williams,Jozsef Horváth,Daniel Rios
MAJ3,8,Conor Lee,Mark Estrada,Duncan Wood,Darius Grimes,Anthony Gaines,David Garcia,James Jennings,John Krause,Zachary Patel,Adam Franco
MAJ3,9,Pavel Čermák,Michael Davis,Sean Taylor,Anthony Reid,Macauley McCluskey,Darrell Baker,Nathan Banks,Tomas Brožová,Christian Henry,Zachary Patel
MAJ3,10,Andreas Weinhage,Jason Clark,Milan Paľovčík,Mark Perry,Anders Thomsen,Diogo Freitas,Shane Harris,Tyler Maughan,Karoly Molnár,Callum Davison
MNI,1,Jozsef Horváth,Nicholas Taylor,David Ruiz,Milan Paľovčík,Jeffery Williams,Manuel Manning,Billy Williams,Martin Simmons,Andrew Collins,Jay Montoya
MNI,2,Patrick Schmitz,Leslie Moore,Elliott Phillips,Luis Arranz,Constantin Albu,Ethan Cox,Christopher Dudley,Charles Leonard,Kaur Tamm,Dillon Stanley
MNI,3,Sean Taylor,Travis Callahan,Mark Estrada,Ethan Cox,Harry Miles,Vasile Tomescu,Jose Lucero,Jeffery Williams,Leslie Moore,Bjorn Kjóisdóttir
MNI,4,Jesse West,Simon Wilson,Anthony Gaines,Vasile Tomescu,Kevin Roberts,Martin Simmons,Milan Paľovčík,Jose Lucero,Kaur Tamm,Peter Cook
MNI,5,Elliott Phillips,Manuel Manning,James Dennis,Leslie Moore,Christian Henry,Andrew Collins,Kevin Kent,Jesse West,John Case,Chad Jones
MNI,6,Daniel Whitaker,Conor Lee,Constantin Albu,Sean Taylor,Andrew Collins,Tomas Brožová,Patrick Bennett,Duncan Wood,Vasile Tomescu,Christian Henry
MNI,7,Zachary Patel,Ryan Hubbard,Daniel Whitaker,Peter Steiger,Aaron Doyle,Michael Russell,Steven Keller,Terence Heaney,Craig Smith,Leslie Moore
MNI,8,Kevin Kent,Anders Thomsen,David Munoz,Jesse West,Eric Welch,Peter Steiger,Manuel Manning,Kevin Hensley,Josh Boyce,Tyler Maughan
MNI,9,Peter Steiger,Vasile Tomescu,Constantin Albu,Joseph Brady,Kyle Morales,Philip Hall,Michael Johnson,Mariusz Machowicz,Damon Peterson,Darius Grimes
MNI,10,Michael Sorgatz,John Krause,Craig Smith,Anthony Reid,Dale Howell,Antanas Žukauskas,Darius Grimes,Bryan Washington,Andrew Collins,Diogo Freitas
MAJ4,1,Travis Callahan,Mark Estrada,Michael Johnson,Billy Williams,Diogo Freitas,Elliott Phillips,Luis Arranz,David Arreola,David Kennedy,Stephen Robinson
MAJ4,2,Randall Miller,Leslie Moore,Elliott Phillips,Aaron Doyle,Sean Taylor,Constantin Albu,Cole Smith,Manuel Manning,Nathan Banks,James Dennis
MAJ4,3,Ethan Cox,Bjorn Kjóisdóttir,William Ortega,Jesse West,Leslie Moore,Michael Davis,Karoly Molnár,Austin Love,Travis Callahan,Ryan Hubbard
MAJ4,4,Nathan Banks,Vasile Tomescu,Frank Cole,Chad Jones,Sean Taylor,Travis Callahan,Duncan Wood,Christian Henry,Ethan Cox,Jesse West
MAJ4,5,Conor Lee,Leonard Hamilton,Manuel Manning,Travis Callahan,Bjorn Kjóisdóttir,Michael Davis,Mark Perry,Karoly Molnár,Zachary Patel,Ethan Cox
MAJ4,6,Brandon Baker,William Ortega,Christopher Dudley,Karoly Molnár,James Jennings,Russell Warner,Mark Estrada,Martin Simmons,Luke Clark,Aaron Doyle
MAJ4,7,Constantin Albu,Jesse West,Conor Lee,Vasile Tomescu,Michael Russell,Aidan Reardon,Patrick Schmitz,Mark Estrada,Philip Hall,Travis Callahan
MAJ4,8,Peter Steiger,James Dennis,Darrell Baker,Stephen Schwartz,Jeremy Freeman,Francisco Guajardo,Stephen Johnson,Eric Welch,Michael Jäkel,Timothy Hamilton
MAJ4,9,Oliver Smith,Dennis Lyons,Kevin Kent,Stephen Johnson,Michael Crawford,Juan Bird,Ryan Hubbard,Aidan Reardon,Patrick Schmitz,Michael Jäkel
MAJ4,10,Mark Perry,Bruce Ramirez,Miguel Loyola,David Morris,Constantin Albu,Darrell Baker,Duncan Wood,Brandon Baker,David Garcia,Ryan Hubbard
SIG1,1,Patrick Schmitz,Randall Miller,David Munoz,Elliott Phillips,Andrew Collins,Tomas Brožová,David Ruiz,Travis Callahan,Jozsef Horváth,Karoly Molnár
SIG1,2,Constantin Albu,Darius Grimes,Luis Arranz,Kyle Morales,Elliott Phillips,Mark Perry,Kevin Kent,Terence Heaney,Ethan Cox,Michael Davis
SIG1,3,Harry Miles,Ethan Cox,Leslie Moore,Mark Estrada,Francisco Guajardo,Austin Love,Karoly Molnár,Jesse West,Aaron Doyle,Sean Taylor
SIG1,4,Milan Paľovčík,Michael Davis,Jeffery Williams,Christian Henry,Leslie Moore,Kevin Kent,Ryan Hubbard,David Munoz,Brian Bush,Mark Estrada
SIG1,5,Luke Clark,Austin Love,Tomas Brožová,Randall Miller,Pavel Čermák,Alexander Campbell,Peter Cook,Elliot Holmes,Terence Heaney,Kyle Morales
SIG1,6,Aidan Reardon,Leslie Moore,Travis Callahan,Darius Grimes,William Ortega,Antanas Žukauskas,Michael Crawford,Conor Lee,Manuel Manning,Wolfgang Marte
SIG1,7,Anthony Gaines,Timothy Hamilton,Martin Simmons,John Case,Jesse West,Jason Clark,Conor Lee,William Ortega,Adam Milmo,Elliott Phillips
SIG1,8,Russell Warner,Vasile Tomescu,Eric Welch,Mark Estrada,Luis Arranz,Michael Davis,Patrick Schmitz,Anthony Gaines,Peter Steiger,Terence Heaney
SIG1,9,Christian Henry,Terry Nguyen,Philip Hall,David Munoz,Conor Lee,Bjorn Kjóisdóttir,Harry Miles,Stephen Johnson,Bryan Washington,Kaur Tamm
SIG1,10,Conor Lee,Eric Welch,Harry Miles,Bryan Lennon,Ryan Hubbard,Ethan Cox,Travis Callahan,Kevin Hensley,Antanas Žukauskas,Anthony Reid
SIG2,1,Jozsef Horváth,Elliott Phillips,Dennis Lyons,Jesse West,Patrick Schmitz,Cole Smith,William Ortega,Joe Heath,Duane Wood,Harry Miles
SIG2,2,Darius Grimes,Leslie Moore,Aaron Doyle,Randall Miller,Kevin Kent,Constantin Albu,Samuel Gates,Vasile Tomescu,Michael Davis,Kyle Morales
SIG2,3,Vasile Tomescu,Luke Clark,Darius Grimes,Constantin Albu,Jesse West,Chad Jones,Manuel Manning,Jeremy Freeman,Michael Davis,Aaron Doyle
SIG2,4,Constantin Albu,Milan Paľovčík,Aidan Reardon,Billy Williams,Manuel Manning,Mark Perry,Jose Lucero,Karoly Molnár,Dieter Gieß,David Johnston
SIG2,5,Jeffery Williams,Vasile Tomescu,James Baker,Carlos Smith,Jozsef Horváth,Kaur Tamm,Kevin Kent,Randall Miller,Bjorn Kjóisdóttir,Anthony Gaines
SIG2,6,Elliott Phillips,Karoly Molnár,Patrick Schmitz,Joe Heath,Diogo Freitas,Pavel Čermák,Dillon Stanley,Manuel Manning,Kevin Hensley,Mark Perry
SIG2,7,Mark Perry,Damon Peterson,Duncan Wood,Tomas Brožová,Patrick Bennett,Mark Estrada,Aidan Reardon,Aaron Doyle,Andrew Collins,Terry Nguyen
SIG2,8,Michael Davis,Peter Steiger,Ryan Hubbard,James Jennings,Luis Arranz,Oliver Smith,Mariusz Machowicz,Chad Jones,Frank Miller,Martin Simmons
SIG2,9,Anders Thomsen,Duncan Wood,Diogo Freitas,Kevin Hensley,Steven Keller,Brandon Baker,Eric Welch,Callum Davison,John Krause,Leslie Moore
SIG2,10,Christian Henry,Peter Steiger,John Krause,Michael Johnson,Kaur Tamm,Elliott Phillips,Stephen Schwartz,Mariusz Machowicz,Mark Estrada,Michael Carrillo
SIG3,1,Tomas Brožová,Austin Love,Dennis Lyons,Darius Grimes,Nicholas Taylor,Andrew Collins,Jesse West,Steven Keller,Randall Miller,Luis Arranz
SIG3,2,Kevin Kent,Kyle Morales,Darius Grimes,Elliott Phillips,James Dennis,Leslie Moore,Adam Franco,Jeffery Williams,Luke Clark,Tomas Brožová
SIG3,3,Mark Estrada,Vasile Tomescu,Francisco Guajardo,Luke Clark,Sean Taylor,Bjorn Kjóisdóttir,Jesse West,Kevin Kent,Jeffery Williams,Craig Jackson
SIG3,4,Michael Davis,Zachary Patel,Aaron Doyle,Craig Smith,Kyle Morales,Andrew Collins,Joe Heath,Kevin Kent,Adam Williams,Mark Estrada
SIG3,5,Mark Estrada,David Munoz,Kevin Kent,Randall Miller,Nuno Antunes,Conor Lee,Martin Simmons,Chad Jones,Vasile Tomescu,Adam Franco
SIG3,6,Austin Love,Russell Warner,Timo Varis,Kaur Tamm,Philip Hall,Kyle Morales,Charles Leonard,Dennis Lyons,Elliott Phillips,Darrell Baker
SIG3,7,Sean Taylor,Mark Estrada,Antanas Žukauskas,Chad Jones,Brandon Baker,Pavel Čermák,Conor Lee,Charles Leonard,Milan Paľovčík,Ethan Cox
SIG3,8,Mariusz Machowicz,Travis Callahan,Martin Simmons,Michael Crawford,John Krause,Pavel Čermák,Jose Lucero,James Jennings,Terence Heaney,Brandon Baker
SIG3,9,Kevin Kent,Joe Heath,Danny Taylor,Aidan Reardon,William Ortega,Abdul Shaw,Leslie Moore,Jose Lucero,Kyle Morales,Oliver Smith
SIG3,10,Ethan Cox,Eric Welch,David Garcia,Luke Clark,David Munoz,Jeremy Freeman,Sean Taylor,Philip Hall,Timo Varis,Joe Hayes
SIG4,1,Andrew Collins,Mark Estrada,Kaur Tamm,Randall Miller,David Johnston,David Munoz,Jeffery Williams,Nicholas Taylor,Peter Heß,Karoly Molnár
SIG4,2,Constantin Albu,Kevin Kent,Leslie Moore,Bjorn Kjóisdóttir,Luis Arranz,Nicholas Taylor,Mark Estrada,Luke Clark,James Dennis,Elliott Phillips
SIG4,3,Ethan Cox,Mark Estrada,Joe Heath,Michael Davis,Jeremy Freeman,David Munoz,Jose Lucero,Harry Miles,Jeffery Williams,David Kennedy
SIG4,4,Jesse West,Ethan Cox,Mark Estrada,Craig Jackson,Michael Johnson,Luke Clark,Dillon Stanley,Daniel Whitaker,Zachary Patel,Nuno Antunes
SIG4,5,Patrick Schmitz,Jacob Williams,Michael Crawford,William Ortega,Michael Johnson,Kevin Kent,Diogo Freitas,Bjorn Kjóisdóttir,Adam Williams,Robert Lee
SIG4,6,Mark Estrada,Bjorn Kjóisdóttir,Brandon Baker,Kevin Kent,Jeffery Williams,Jason Clark,Michael Johnson,Luis Arranz,Chad Jones,Adam Milmo
SIG4,7,Billy Williams,Karoly Molnár,Kyle Morales,Callum Davison,Juan Gaytán,Mark Estrada,Patrick Schmitz,Ryan Hubbard,Travis Callahan,Damon Peterson
SIG4,8,Mark Estrada,Jesse West,Harry Miles,David Morris,Kyle Morales,Jose Lucero,Diogo Freitas,Bryan Washington,Kevin Kent,Michael Davis
SIG4,9,Milan Paľovčík,Adam Milmo,Craig Jackson,Christian Henry,David Garcia,Terry Nguyen,Mark Estrada,Ryan Hubbard,Joseph Brady,Martin Simmons
SIG4,10,Dennis Lyons,Bryan Lennon,Kevin Hensley,Bryan Washington,Kevin Kent,Adam Milmo,Shane Harris,Kyle Morales,Ryan Hubbard,Karoly Molnár
SIG5,1,Francisco Guajardo,Nicholas Taylor,Luis Arranz,Karoly Molnár,Billy Williams,Jeffery Williams,Patrick Schmitz,Dennis Lyons,Zachary Patel,Timothy Best
SIG5,2,Bjorn Kjóisdóttir,Patrick Schmitz,Andrew Collins,Luis Arranz,Kevin Kent,Chad Jones,Kyle Morales,Leslie Moore,Harry Miles,Frank Cole
SIG5,3,Mark Estrada,Travis Callahan,Sean Taylor,Ethan Cox,Bjorn Kjóisdóttir,Charles Leonard,Martin Simmons,Malcolm Chambers,Tomas Brožová,Patrick Schmitz
SIG5,4,Michael Gordon,Simon Wilson,David Johnston,Luke Clark,Patrick Schmitz,Vasile Tomescu,Nuno Antunes,Constantin Albu,Adam Franco,Gareth Saunders
SIG5,5,Ryan Hubbard,William Ortega,Jesse West,Adam Williams,Leslie Moore,Jeremy Freeman,Adam Milmo,Tyler Maughan,Sean Taylor,Austin Love
SIG5,6,Milan Paľovčík,Michael Davis,Conor Lee,Ante Jerič,Kyle Morales,Kevin Hensley,Damon Peterson,Mark Perry,Vasile Tomescu,Peter Steiger
SIG5,7,Andrew Collins,Mark Estrada,David Munoz,Constantin Albu,James Jennings,Luis Arranz,Joe Heath,Kaur Tamm,Zachary Patel,Michael Russell
SIG5,8,Jesse West,Peter Steiger,Michael Davis,Cody McGahey,Kevin Kent,Manuel Manning,Bjorn Kjóisdóttir,Aidan Reardon,Anthony Gaines,Russell Warner
SIG5,9,Michael Davis,Charles Leonard,Ryan Hubbard,Kevin Kent,Aidan Reardon,Ronald Wilcox,Tyler Maughan,Patrick Schmitz,Billy Williams,Jose Lucero
SIG5,10,Mariusz Machowicz,Travis Callahan,Jesse West,Nathan Banks,Jose Lucero,Anthony Reid,Joe Heath,Stephen Schwartz,Huynh Phạm,Craig Smith
SIG6,1,Ethan Cox,Sean Taylor,Francisco Guajardo,Karoly Molnár,Mark Estrada,Martin Simmons,Gareth Saunders,Zachary Patel,Jeffery Williams,Austin Love
SIG6,2,Patrick Schmitz,Bjorn Kjóisdóttir,Elliott Phillips,Constantin Albu,Aaron Doyle,Mark Perry,Kaur Tamm,Kevin Kent,Martin Simmons,Tomas Brožová
SIG6,3,Kevin Kent,Travis Callahan,Vasile Tomescu,Aidan Reardon,Ethan Cox,Francisco Guajardo,Milan Paľovčík,Joe Heath,Josh Boyce,Constantin Albu
SIG6,4,Sean Taylor,Jesse West,Michael Davis,Karoly Molnár,Aidan Reardon,Brian Bush,Robert Jones,Bjorn Kjóisdóttir,Patrick Schmitz,Darius Grimes
SIG6,5,Kevin Roberts,Jesse West,Zachary Patel,Juan Gaytán,Peter Steiger,Leslie Moore,Kaur Tamm,Patrick Schmitz,Kevin Hensley,Anthony Reid
SIG6,6,Patrick Schmitz,Constantin Albu,Christopher Ward,Callum Davison,Christian Henry,Juan Gaytán,Daniel Rios,Karoly Molnár,Darius Grimes,Elliott Phillips
SIG6,7,Karoly Molnár,Ryan Hubbard,Aidan Reardon,Terry Nguyen,Zachary Patel,Anthony Gaines,Randall Miller,Michael Jäkel,Kevin Hensley,Manuel Manning
SIG6,8,Sean Taylor,Christian Henry,Constantin Albu,Anthony Reid,Ethan Cox,Brandon Morales,Constantin Stănescu,Terry Nguyen,James Jennings,Shane Harris
SIG6,9,Conor Lee,Mark Estrada,Manuel Manning,Michael Russell,Elliott Phillips,William Ortega,Travis Callahan,Kyle Morales,Anders Thomsen,Adam Milmo
SIG6,10,Russell Warner,Brandon Baker,William Ortega,Jeffery Williams,Adam Franco,Ethan Cox,Martin Simmons,Patrick Schmitz,Miguel Loyola,Luke Clark
SIG7,1,Nicholas Taylor,Josh Boyce,Mark Estrada,Kaur Tamm,Gareth Saunders,Sean Taylor,Francisco Guajardo,Tomas Brožová,Peter Heß,David Kennedy
SIG7,2,Randall Miller,Bjorn Kjóisdóttir,Mark Estrada,Kevin Kent,James Dennis,Jesse West,Elliott Phillips,Nathan Banks,Cole Smith,Luke Clark
SIG7,3,Karoly Molnár,Mark Estrada,Travis Callahan,Leslie Moore,Jesse West,Michael Davis,Kevin Kent,Jeremy Freeman,William Ortega,David Munoz
SIG7,4,Francisco Guajardo,Charles Leonard,Bjorn Kjóisdóttir,James Dennis,Karoly Molnár,Pavel Čermák,Billy Williams,Aidan Reardon,Michael Johnson,Trevor Booker
SIG7,5,Diogo Freitas,Kevin Kent,Harry Miles,Dennis Lyons,Elliot Holmes,Conor Lee,Peter Steiger,Patrick Schmitz,Juan Gaytán,Robert Lee
SIG7,6,Leslie Moore,Michael Davis,Brandon Baker,Bjorn Kjóisdóttir,Ryan Hubbard,Darrell Baker,Mark Perry,Joe Heath,Kevin Kent,Darius Grimes
SIG7,7,Patrick Schmitz,Philip Hall,Mark Estrada,Charles Leonard,Austin Love,Jeffery Williams,Karoly Molnár,Constantin Albu,Callum Davison,Billy Williams
SIG7,8,Joe Heath,Jose Lucero,Kevin Kent,Sean Taylor,Christian Henry,Macauley McCluskey,Aidan Reardon,Eric Welch,Cody McGahey,Oliver Smith
