season_event,event_type,event_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
4_1,Signature Event #1,Signature Event #1,Milan Paľovčík,Michael Davis,Jeffery Williams,Christian Henry,Leslie Moore,Kevin Kent,Ryan Hubbard,David Munoz,Brian Bush,Mark Estrada,Zachary Patel,Wolfgang Marte,Joseph Black,Chad Jones,Martin Simmons,Jose Lucero,Karoly Molnár,Aaron Doyle,Jesse West,Thomas Rogers,Edgars Turiņš,Charles Leonard,Christopher Dudley,Tomasz Cegła,Alexander Campbell,Samuel Gates,Robert Lee,Adam Milmo,Jozsef Horváth,Joe Heath,Darrell Baker,Dennis Lyons,Christopher Ward,Nicholas Taylor,Kaur Tamm,Malcolm Chambers,Gareth Saunders,Josh Boyce,Jose Gonzales,Luke Clark,Austin Love,Duncan Wood,Craig Smith,Cole Smith,Adam Franco,Michael Johnson,Nathan Banks,Michael Crawford,Diogo Freitas,Eric Hammond,Adam Williams,Luis Arranz,Timothy Hamilton,Constantin Albu,Darius Grimes,James Jennings,Elliott Phillips,Mark Perry,Andrew Collins,Patrick Schmitz,Manuel Manning,Anthony Gaines,Juan Gaytán,Francisco Guajardo,Aidan Reardon,Tomas Brožová,Jay Roberts,David Johnston,Gerard Boer,Damon Peterson,Trevor Booker,Nuno Antunes,Bjorn Kjóisdóttir,Timothy Francis,Jeffrey Wilson,Craig Jackson,Terrence Buckley,William Cruz,Ethan Cox,Terence Heaney,Sean Taylor,Kevin Hensley,Jeffrey Fernandez,Michael Wenger,Widodo Ramadan,Harry Miles,Dennis Compton,Jesse Garza,Jeremy Freeman,Dieter Gieß,David Ruiz,Dillon Stanley,Pavel Čermák,Robert Jones,Casey Gutierrez,Michael Wall,Randall Miller,Ante Jerič,Travis Callahan,Michael Gordon,John Case,Tyler Maughan,Peter Cook,Daniel Brown,Daniel Whitaker,William Ortega,Jonas Gailius,Petr Miklík,Callum Davison,David Kennedy,Scott Young,Daniel Edwards,Kyle Morales,George Cox,Vasile Tomescu,Kieran Day,Deaglan Brannelly,Timo Varis,Frank Cole,Brandon Silva,Keith Luna,Kevin Roberts,Simon Wilson,Steven Keller,Daniel Doherty,James Dennis,Erik Gonzalez,Jason Clark,Billy Williams,Anthony Reid,Joseph Hunt,Michel Charlier,David Velazquez,Christopher McLean,Klaus Frühwirth,Marco Lopresti,Ruari Magee,William Simmons,Mark Johnson,Jonas Kaupas,Andre White,Douglas Davis,Robert Harris,Russell Collins,Mark Berry,Jaan Kasak,Donald Baird,Nicolas Munoz,Ivan Jenko,Richard Ryan
4_2,Standard Event #2,Standard Event #2,Travis Callahan,Josh Boyce,Sean Taylor,Jeffery Williams,Darius Grimes,Michael Davis,Mark Perry,Austin Love,Pavel Čermák,Martin Simmons,Scott Young,Alexander Campbell,Milan Paľovčík,Simon Wilson,Dennis Lyons,Kyle Morales,Elliott Phillips,Craig Smith,Frank Cole,Karoly Molnár,Manuel Manning,Steven Keller,Ethan Cox,Peter Cook,Andre White,Darrell Baker,Adam Franco,Chad Jones,Brandon Silva,Luke Clark,Jose Gonzales,David Munoz,Leslie Moore,William Ortega,Kieran Day,Terence Heaney,Daniel Brown,Adam Williams,Trevor Booker,Nicholas Taylor,Joe Heath,William Cruz,Jesse West,Kaur Tamm,Damon Peterson,Cole Smith,Michael Wall,Jeffrey Fernandez,John Case,Mark Estrada,Adam Milmo,Christopher Ward,Constantin Albu,Callum Davison,David Velazquez,Tomasz Cegła,Michael Crawford,Juan Gaytán,Tomas Brožová,Randall Miller,Ante Jerič,Petr Miklík,Anthony Reid,Mark Berry,Casey Gutierrez,Wolfgang Marte,Kevin Kent,David Johnston,Christopher McLean,Craig Jackson,James Dennis,Jason Clark,Jay Roberts,Nicolas Munoz,Douglas Davis,Robert Jones,Tyler Maughan,Klaus Frühwirth,David Ruiz,Timothy Hamilton,Jesse Garza,Michel Charlier,Andrew Collins,Eric Hammond,Robert Lee,Edgars Turiņš,Deaglan Brannelly,Anthony Gaines,Jonas Kaupas,Jaan Kasak,Erik Gonzalez,Donald Baird,Billy Williams,Ruari Magee,Dennis Compton,Vasile Tomescu,Ryan Hubbard,Patrick Schmitz,Bjorn Kjóisdóttir,Jose Lucero,David Kennedy,Samuel Gates,Nuno Antunes,Michael Johnson,Richard Ryan,Aidan Reardon,Aaron Doyle,Zachary Patel,Jeffrey Wilson,Michael Gordon,Dieter Gieß,Nathan Banks,Francisco Guajardo,Joseph Black,Russell Collins,Robert Harris,Jozsef Horváth,Thomas Rogers,Widodo Ramadan,Diogo Freitas,Dillon Stanley,Christian Henry,Jeremy Freeman,Michael Wenger,Harry Miles,Jonas Gailius,Duncan Wood,Kevin Hensley,Christopher Dudley,Brian Bush,Gareth Saunders,Timo Varis,Timothy Francis,Charles Leonard,George Cox,Daniel Edwards,Gerard Boer,Joseph Hunt,Malcolm Chambers,Mark Johnson,Luis Arranz,Ivan Jenko,James Jennings,Marco Lopresti,Keith Luna,Daniel Whitaker,Daniel Doherty,Kevin Roberts,William Simmons,Terrence Buckley
4_3,Standard Invitational #1,Standard Invitational #1,Constantin Albu,Jeffery Williams,Kevin Kent,Travis Callahan,Darius Grimes,Michael Crawford,Martin Simmons,Simon Wilson,Kevin Hensley,Timo Varis,Scott Young,Luis Arranz,Elliott Phillips,Craig Smith,Diogo Freitas,Jesse West,William Ortega,Aaron Doyle,Randall Miller,Steven Keller,Mark Estrada,Terence Heaney,Brian Bush,Ryan Hubbard,Milan Paľovčík,Mark Perry,Wolfgang Marte,Joseph Black,Daniel Brown,Adam Williams,Kevin Roberts,Joe Heath,Christopher Ward,Callum Davison,Adam Franco,Dennis Lyons,Timothy Hamilton,Pavel Čermák,Francisco Guajardo,Luke Clark,Charles Leonard,Anthony Reid,Tomas Brožová,Darrell Baker,James Jennings,Jose Gonzales,Andrew Collins,Kaur Tamm,Gerard Boer,Manuel Manning,Christian Henry,Vasile Tomescu,Mark Berry,Ethan Cox,Frank Cole,Craig Jackson,Jozsef Horváth,Dieter Gieß,Richard Ryan,David Velazquez,David Johnston,Aidan Reardon,Chad Jones,Donald Baird,Kyle Morales,Patrick Schmitz,Michael Johnson,Christopher Dudley,Michel Charlier,Daniel Edwards,Anthony Gaines,Zachary Patel,Terrence Buckley,Deaglan Brannelly,Jose Lucero,Erik Gonzalez,John Case,Karoly Molnár,Sean Taylor,Adam Milmo,Russell Collins,George Cox,Jonas Kaupas,Ante Jerič,Jonas Gailius,Leslie Moore,Tyler Maughan,Jeffrey Fernandez,Douglas Davis,David Kennedy,Harry Miles,Samuel Gates,Alexander Campbell,David Munoz,Christopher McLean,Jay Roberts,Widodo Ramadan,Michael Wenger,Josh Boyce,Daniel Whitaker,Michael Gordon,Jeremy Freeman,Andre White,James Dennis,Michael Davis,Gareth Saunders,Casey Gutierrez,Klaus Frühwirth,Kieran Day,Trevor Booker,Bjorn Kjóisdóttir,Damon Peterson,Ruari Magee,Nicolas Munoz,Keith Luna,Robert Lee,Joseph Hunt,Dillon Stanley,David Ruiz,Edgars Turiņš,Jeffrey Wilson,Brandon Silva,Cole Smith,Austin Love,William Cruz,Jaan Kasak,Thomas Rogers,Billy Williams,Michael Wall,Jason Clark,Nathan Banks,Timothy Francis,Dennis Compton,Juan Gaytán,Nuno Antunes,Robert Harris,Peter Cook,Petr Miklík,Marco Lopresti,Duncan Wood,Mark Johnson,Robert Jones,Eric Hammond,Nicholas Taylor,Malcolm Chambers,Tomasz Cegła,Daniel Doherty,Ivan Jenko,Jesse Garza,William Simmons
4_4,Standard Event #4,Standard Event #4,Randall Miller,Vasile Tomescu,William Ortega,Michel Charlier,Harry Miles,Michael Gordon,Sean Taylor,Jesse West,Trevor Booker,Constantin Albu,Adam Milmo,Dennis Lyons,Jeffrey Wilson,Ryan Hubbard,Christian Henry,Francisco Guajardo,John Case,Simon Wilson,David Kennedy,Callum Davison,Andre White,Martin Simmons,Deaglan Brannelly,Terence Heaney,Austin Love,Joe Heath,Gerard Boer,Mark Perry,Kieran Day,Juan Gaytán,Michael Davis,Pavel Čermák,Jose Gonzales,Daniel Brown,Luke Clark,Jeremy Freeman,Adam Williams,Travis Callahan,Mark Estrada,Ethan Cox,Russell Collins,Damon Peterson,Klaus Frühwirth,Elliott Phillips,Edgars Turiņš,James Dennis,Aaron Doyle,Billy Williams,Casey Gutierrez,Dennis Compton,Christopher Ward,Kaur Tamm,Ante Jerič,Diogo Freitas,Eric Hammond,Kevin Hensley,Frank Cole,David Munoz,Erik Gonzalez,Brian Bush,Kevin Roberts,Duncan Wood,Darius Grimes,Craig Jackson,Brandon Silva,David Velazquez,Jeffery Williams,Timothy Hamilton,Manuel Manning,Karoly Molnár,Anthony Reid,Aidan Reardon,Dillon Stanley,Samuel Gates,Joseph Hunt,Luis Arranz,Ivan Jenko,David Ruiz,Marco Lopresti,Milan Paľovčík,Steven Keller,Andrew Collins,Timothy Francis,Chad Jones,Timo Varis,Jozsef Horváth,Nuno Antunes,Nicholas Taylor,Wolfgang Marte,Robert Harris,Zachary Patel,Daniel Doherty,Widodo Ramadan,Daniel Edwards,Jason Clark,Kyle Morales,Kevin Kent,Richard Ryan,Thomas Rogers,Jose Lucero,Joseph Black,Bjorn Kjóisdóttir,Leslie Moore,Jonas Gailius,Ruari Magee,Christopher McLean,Douglas Davis,Robert Jones,Jeffrey Fernandez,Michael Crawford,Patrick Schmitz,Keith Luna,Christopher Dudley,Tyler Maughan,Charles Leonard,Craig Smith,Anthony Gaines,Scott Young,Daniel Whitaker,Tomas Brožová,Adam Franco,Darrell Baker,Michael Johnson,Nathan Banks,Alexander Campbell,William Cruz,James Jennings,Robert Lee,David Johnston,Petr Miklík,Jay Roberts,Michael Wenger,Jonas Kaupas,Cole Smith,Malcolm Chambers,Josh Boyce,William Simmons,Dieter Gieß,Mark Johnson,Donald Baird,Gareth Saunders,Peter Cook,George Cox,Mark Berry,Tomasz Cegła,Nicolas Munoz,Michael Wall,Terrence Buckley,Jesse Garza,Jaan Kasak
4_5,Standard Event #3,Standard Event #3,Callum Davison,Patrick Schmitz,Kyle Morales,Pavel Čermák,Juan Gaytán,Constantin Albu,Kaur Tamm,Christian Henry,Gareth Saunders,Luke Clark,Jeffrey Fernandez,Jonas Gailius,Martin Simmons,Terence Heaney,John Case,Michael Johnson,Michael Wenger,Ethan Cox,James Jennings,Jesse West,Ante Jerič,Milan Paľovčík,Luis Arranz,Ruari Magee,Craig Smith,Karoly Molnár,Nuno Antunes,Travis Callahan,Kevin Kent,Brandon Silva,Dillon Stanley,Harry Miles,Adam Franco,Craig Jackson,Jeffery Williams,Joe Heath,Leslie Moore,Thomas Rogers,Alexander Campbell,Michael Davis,Damon Peterson,William Cruz,Dennis Lyons,Kevin Roberts,Scott Young,Christopher Ward,Jeffrey Wilson,Andrew Collins,Christopher McLean,Jose Gonzales,Samuel Gates,Jozsef Horváth,Jonas Kaupas,Adam Williams,Steven Keller,Robert Lee,Charles Leonard,Nathan Banks,Darius Grimes,Robert Harris,Nicholas Taylor,Randall Miller,Manuel Manning,Gerard Boer,Joseph Black,Klaus Frühwirth,Cole Smith,Deaglan Brannelly,Douglas Davis,James Dennis,Peter Cook,Tomas Brožová,Vasile Tomescu,Casey Gutierrez,Jay Roberts,Billy Williams,Malcolm Chambers,Mark Estrada,David Kennedy,Marco Lopresti,Dieter Gieß,Bjorn Kjóisdóttir,Jose Lucero,Joseph Hunt,David Johnston,Michel Charlier,Edgars Turiņš,David Ruiz,Jaan Kasak,Chad Jones,Tomasz Cegła,Austin Love,Anthony Gaines,Michael Wall,David Velazquez,Mark Perry,Trevor Booker,David Munoz,Adam Milmo,Sean Taylor,Diogo Freitas,Duncan Wood,Nicolas Munoz,Michael Gordon,Mark Berry,Daniel Whitaker,Ryan Hubbard,Zachary Patel,Timothy Hamilton,Anthony Reid,Timo Varis,Wolfgang Marte,Jason Clark,Mark Johnson,Aidan Reardon,William Ortega,Andre White,Frank Cole,Robert Jones,Francisco Guajardo,Russell Collins,Brian Bush,Jesse Garza,Darrell Baker,Michael Crawford,Daniel Edwards,Aaron Doyle,Josh Boyce,Jeremy Freeman,Widodo Ramadan,Elliott Phillips,Timothy Francis,Erik Gonzalez,Kieran Day,Daniel Brown,Petr Miklík,Tyler Maughan,Christopher Dudley,Kevin Hensley,Daniel Doherty,Richard Ryan,Simon Wilson,Dennis Compton,George Cox,Eric Hammond,Ivan Jenko,Keith Luna,Donald Baird,Terrence Buckley,William Simmons
4_6,Standard Event #6,Standard Event #6,Christian Henry,John Case,Bjorn Kjóisdóttir,Aidan Reardon,Joseph Black,Jason Clark,Zachary Patel,Kevin Kent,Kaur Tamm,Daniel Brown,Simon Wilson,David Johnston,Ethan Cox,Terence Heaney,Casey Gutierrez,Jeffery Williams,Jonas Gailius,Jay Roberts,Tyler Maughan,Martin Simmons,Karoly Molnár,Charles Leonard,Kieran Day,Adam Franco,David Munoz,Dillon Stanley,Travis Callahan,Ryan Hubbard,Nuno Antunes,Keith Luna,Kevin Hensley,William Ortega,Elliott Phillips,Ruari Magee,Kevin Roberts,Christopher Dudley,Joe Heath,Daniel Doherty,Jesse West,Adam Williams,Anthony Reid,Leslie Moore,Mark Estrada,Timothy Hamilton,Vasile Tomescu,Manuel Manning,Michael Gordon,Peter Cook,James Jennings,Luis Arranz,Dennis Lyons,Douglas Davis,Christopher Ward,Andre White,Damon Peterson,Robert Lee,Jeremy Freeman,Wolfgang Marte,Robert Jones,Anthony Gaines,Milan Paľovčík,Thomas Rogers,Mark Perry,David Ruiz,Deaglan Brannelly,Erik Gonzalez,Diogo Freitas,David Kennedy,Dieter Gieß,James Dennis,George Cox,Michael Wenger,Pavel Čermák,Michel Charlier,Kyle Morales,Constantin Albu,Dennis Compton,Juan Gaytán,Duncan Wood,Tomasz Cegła,Sean Taylor,Marco Lopresti,Ante Jerič,Randall Miller,Josh Boyce,Petr Miklík,Scott Young,Michael Crawford,Michael Johnson,Jeffrey Fernandez,William Cruz,Jozsef Horváth,Craig Smith,Cole Smith,Jose Lucero,Chad Jones,Nicholas Taylor,Darius Grimes,Mark Berry,Alexander Campbell,Francisco Guajardo,Austin Love,Jeffrey Wilson,Craig Jackson,Widodo Ramadan,Steven Keller,Brandon Silva,Nicolas Munoz,Terrence Buckley,Harry Miles,Malcolm Chambers,Richard Ryan,Klaus Frühwirth,Daniel Whitaker,Christopher McLean,Frank Cole,Edgars Turiņš,Timothy Francis,Jose Gonzales,Samuel Gates,Jesse Garza,Callum Davison,Patrick Schmitz,Billy Williams,Michael Davis,Aaron Doyle,Donald Baird,Gareth Saunders,Gerard Boer,Tomas Brožová,Trevor Booker,Russell Collins,Andrew Collins,Adam Milmo,Nathan Banks,Daniel Edwards,Mark Johnson,Luke Clark,David Velazquez,Robert Harris,Joseph Hunt,Darrell Baker,Brian Bush,Eric Hammond,Jonas Kaupas,Timo Varis,Michael Wall,Ivan Jenko,Jaan Kasak,William Simmons
4_7,Standard Invitational #3,Standard Invitational #3,Jeremy Freeman,Diogo Freitas,Ryan Hubbard,Adam Milmo,Austin Love,Darrell Baker,Kaur Tamm,Vasile Tomescu,Timothy Francis,Andrew Collins,Jonas Gailius,Jose Lucero,Jeffery Williams,Dennis Compton,Kevin Hensley,Jeffrey Fernandez,Gareth Saunders,Christopher Dudley,Craig Jackson,Jesse West,Malcolm Chambers,Constantin Albu,Michael Davis,Ruari Magee,Simon Wilson,Anthony Gaines,Ante Jerič,Harry Miles,Klaus Frühwirth,Kevin Kent,David Johnston,Dieter Gieß,Erik Gonzalez,Robert Jones,Elliott Phillips,Manuel Manning,Daniel Edwards,Wolfgang Marte,Michael Johnson,James Jennings,Nicolas Munoz,Chad Jones,Francisco Guajardo,Mark Berry,Billy Williams,Zachary Patel,Joe Heath,Joseph Black,Travis Callahan,Karoly Molnár,Luis Arranz,Dennis Lyons,Kieran Day,Mark Perry,David Ruiz,Timo Varis,Michael Wall,Christian Henry,James Dennis,William Ortega,Mark Estrada,Scott Young,Tyler Maughan,Leslie Moore,Patrick Schmitz,Bjorn Kjóisdóttir,Nicholas Taylor,Widodo Ramadan,Edgars Turiņš,Adam Franco,Samuel Gates,Jeffrey Wilson,Russell Collins,Cole Smith,Alexander Campbell,Damon Peterson,Craig Smith,Casey Gutierrez,Jason Clark,Michael Gordon,Andre White,Thomas Rogers,Charles Leonard,Mark Johnson,Kyle Morales,Jozsef Horváth,Callum Davison,Josh Boyce,Ethan Cox,Robert Lee,Michael Wenger,Brandon Silva,Sean Taylor,Anthony Reid,Nuno Antunes,Pavel Čermák,Darius Grimes,David Kennedy,Gerard Boer,Kevin Roberts,Juan Gaytán,Duncan Wood,Aaron Doyle,Adam Williams,Marco Lopresti,Jaan Kasak,Luke Clark,Robert Harris,Timothy Hamilton,Joseph Hunt,Martin Simmons,Christopher Ward,Tomasz Cegła,Daniel Doherty,Trevor Booker,Frank Cole,Randall Miller,David Munoz,Aidan Reardon,Terence Heaney,Nathan Banks,Milan Paľovčík,Donald Baird,Christopher McLean,Daniel Brown,Dillon Stanley,Daniel Whitaker,William Cruz,George Cox,Michael Crawford,Steven Keller,Keith Luna,Ivan Jenko,John Case,Deaglan Brannelly,Tomas Brožová,Jose Gonzales,Douglas Davis,Jay Roberts,Brian Bush,Peter Cook,Jesse Garza,Terrence Buckley,Eric Hammond,David Velazquez,Richard Ryan,William Simmons,Jonas Kaupas,Michel Charlier,Petr Miklík
4_8,Standard Event #8,Standard Event #8,Charles Leonard,Nathan Banks,Bjorn Kjóisdóttir,Patrick Schmitz,Martin Simmons,Dillon Stanley,Diogo Freitas,Dennis Compton,William Ortega,Manuel Manning,Randall Miller,William Cruz,Jesse West,Brandon Silva,Tyler Maughan,Josh Boyce,Daniel Whitaker,Samuel Gates,Ryan Hubbard,Zachary Patel,Deaglan Brannelly,Juan Gaytán,Callum Davison,Nuno Antunes,Michael Davis,Luis Arranz,Andrew Collins,Jonas Gailius,Ethan Cox,Elliott Phillips,Billy Williams,Dieter Gieß,Alexander Campbell,Thomas Rogers,Robert Lee,Cole Smith,Erik Gonzalez,John Case,Craig Jackson,David Munoz,Robert Harris,Austin Love,Joe Heath,Anthony Gaines,Kevin Roberts,Christian Henry,Craig Smith,Darius Grimes,Aidan Reardon,Anthony Reid,Travis Callahan,Christopher Dudley,Michael Gordon,David Kennedy,Timothy Hamilton,Mark Estrada,Milan Paľovčík,Peter Cook,David Johnston,Joseph Hunt,Kyle Morales,Simon Wilson,Edgars Turiņš,Terence Heaney,Timothy Francis,Aaron Doyle,Karoly Molnár,Jose Gonzales,Ruari Magee,Kevin Kent,Duncan Wood,Andre White,Wolfgang Marte,Jozsef Horváth,Kaur Tamm,Kevin Hensley,Ivan Jenko,Adam Williams,Jeremy Freeman,Adam Milmo,Michael Wall,Douglas Davis,Francisco Guajardo,Trevor Booker,Jeffrey Wilson,Jason Clark,Klaus Frühwirth,Jesse Garza,Donald Baird,Adam Franco,Jeffrey Fernandez,Richard Ryan,Damon Peterson,Michael Wenger,Tomas Brožová,Tomasz Cegła,Pavel Čermák,Vasile Tomescu,Eric Hammond,Jonas Kaupas,Brian Bush,Mark Johnson,Jeffery Williams,Terrence Buckley,Christopher Ward,Sean Taylor,Constantin Albu,Frank Cole,Nicholas Taylor,Leslie Moore,Michael Crawford,Chad Jones,Harry Miles,Daniel Doherty,Gerard Boer,Russell Collins,Keith Luna,Luke Clark,Widodo Ramadan,Ante Jerič,Malcolm Chambers,James Jennings,Gareth Saunders,Kieran Day,Marco Lopresti,Darrell Baker,Daniel Brown,James Dennis,Michael Johnson,Timo Varis,Joseph Black,David Ruiz,Mark Perry,Dennis Lyons,Casey Gutierrez,Jay Roberts,Jose Lucero,Scott Young,Robert Jones,Steven Keller,Jaan Kasak,Mark Berry,George Cox,Michel Charlier,Christopher McLean,William Simmons,Nicolas Munoz,Petr Miklík,David Velazquez,Daniel Edwards
4_9,Signature Event #2,Signature Event #2,Constantin Albu,Milan Paľovčík,Aidan Reardon,Billy Williams,Manuel Manning,Mark Perry,Jose Lucero,Karoly Molnár,Dieter Gieß,David Johnston,Juan Gaytán,Ante Jerič,Francisco Guajardo,Michael Crawford,Travis Callahan,Ruari Magee,Joseph Black,Dillon Stanley,Luke Clark,Christian Henry,Dennis Compton,Kevin Kent,Gerard Boer,Brian Bush,Joe Heath,Erik Gonzalez,Kaur Tamm,Nuno Antunes,Pavel Čermák,Jeffery Williams,Kieran Day,Christopher Dudley,Tyler Maughan,Scott Young,Callum Davison,Samuel Gates,Vasile Tomescu,Austin Love,Josh Boyce,Michael Johnson,Leslie Moore,Keith Luna,Jeffrey Fernandez,Adam Williams,Darius Grimes,Mark Estrada,Steven Keller,Timo Varis,Robert Jones,David Munoz,Zachary Patel,Kyle Morales,Craig Smith,Daniel Brown,Sean Taylor,Darrell Baker,Nathan Banks,Nicholas Taylor,William Ortega,Klaus Frühwirth,Eric Hammond,Tomasz Cegła,Ethan Cox,Wolfgang Marte,Thomas Rogers,Elliott Phillips,David Velazquez,Randall Miller,Bjorn Kjóisdóttir,Brandon Silva,James Jennings,Aaron Doyle,Patrick Schmitz,Anthony Reid,Michael Davis,Duncan Wood,Russell Collins,Jose Gonzales,Terence Heaney,Jeremy Freeman,David Kennedy,Andre White,Daniel Whitaker,Jesse West,George Cox,Jonas Gailius,Timothy Hamilton,Adam Milmo,Alexander Campbell,Timothy Francis,Christopher McLean,Trevor Booker,Kevin Roberts,Daniel Doherty,Tomas Brožová,Jeffrey Wilson,Deaglan Brannelly,Jay Roberts,Damon Peterson,Widodo Ramadan,Diogo Freitas,Martin Simmons,Jason Clark,Craig Jackson,Luis Arranz,Petr Miklík,William Cruz,Adam Franco,Kevin Hensley,Michael Gordon,Andrew Collins,Cole Smith,Anthony Gaines,Joseph Hunt,Mark Berry,Nicolas Munoz,Robert Lee,Michael Wenger,Christopher Ward,James Dennis,John Case,Charles Leonard,Edgars Turiņš,Ryan Hubbard,Simon Wilson,Casey Gutierrez,Gareth Saunders,Chad Jones,Dennis Lyons,Frank Cole,Harry Miles,Terrence Buckley,Michel Charlier,Malcolm Chambers,Jesse Garza,David Ruiz,Peter Cook,Daniel Edwards,Douglas Davis,Marco Lopresti,Jozsef Horváth,Donald Baird,Michael Wall,Mark Johnson,Robert Harris,Jonas Kaupas,Richard Ryan,Ivan Jenko,Jaan Kasak,William Simmons
4_10,Mini Major,Continental Championship,Jesse West,Simon Wilson,Anthony Gaines,Vasile Tomescu,Kevin Roberts,Martin Simmons,Milan Paľovčík,Jose Lucero,Kaur Tamm,Peter Cook,Randall Miller,David Johnston,Marco Lopresti,Darius Grimes,Patrick Schmitz,Mark Estrada,Bjorn Kjóisdóttir,Dillon Stanley,Anthony Reid,Michel Charlier,Joe Heath,Nathan Banks,Michael Crawford,Steven Keller,Leslie Moore,James Jennings,Manuel Manning,Ante Jerič,Tyler Maughan,Pavel Čermák,David Kennedy,Tomas Brožová,Daniel Brown,Jozsef Horváth,William Ortega,Joseph Black,Widodo Ramadan,Deaglan Brannelly,Klaus Frühwirth,Diogo Freitas,Adam Franco,Keith Luna,Brian Bush,Eric Hammond,Nuno Antunes,Duncan Wood,Samuel Gates,James Dennis,Craig Jackson,Alexander Campbell,Dennis Compton,Trevor Booker,Jeremy Freeman,Gareth Saunders,Constantin Albu,Thomas Rogers,Andrew Collins,Kevin Kent,Joseph Hunt,Casey Gutierrez,Sean Taylor,Michael Wall,Christian Henry,Malcolm Chambers,Daniel Whitaker,William Cruz,Jason Clark,Christopher McLean,Craig Smith,Luis Arranz,Mark Perry,Josh Boyce,Michael Johnson,Luke Clark,Jeffery Williams,Timo Varis,Damon Peterson,Nicholas Taylor,Travis Callahan,Chad Jones,Michael Davis,Karoly Molnár,Adam Williams,Callum Davison,Kieran Day,Elliott Phillips,Kevin Hensley,David Munoz,Darrell Baker,Adam Milmo,Robert Jones,Andre White,George Cox,Billy Williams,Wolfgang Marte,Kyle Morales,Scott Young,Mark Berry,Aaron Doyle,Cole Smith,Jesse Garza,Edgars Turiņš,Francisco Guajardo,Zachary Patel,Daniel Doherty,Michael Wenger,Douglas Davis,Aidan Reardon,Ethan Cox,Austin Love,Dennis Lyons,Jonas Kaupas,Christopher Dudley,Jaan Kasak,Dieter Gieß,Terence Heaney,Jose Gonzales,Charles Leonard,Frank Cole,Timothy Hamilton,Jonas Gailius,Harry Miles,Juan Gaytán,Christopher Ward,Ruari Magee,Nicolas Munoz,Ryan Hubbard,Jay Roberts,John Case,Gerard Boer,Petr Miklík,Michael Gordon,Ivan Jenko,Terrence Buckley,William Simmons,Jeffrey Wilson,Brandon Silva,Robert Harris,Timothy Francis,Erik Gonzalez,Tomasz Cegła,David Ruiz,Richard Ryan,David Velazquez,Jeffrey Fernandez,Robert Lee,Daniel Edwards,Russell Collins,Donald Baird,Mark Johnson
