id,name,age,nationality,driving_power,driving_accuracy,approach_accuracy,short_game,putting,composure,confidence,focus,risk_tolerance,mental_fatigue,consistency,resilience,current_status,introduction_season
2201,Terry Nguyen S7,21,USA,83.6113398508586,48.3931201538814,59.1989000626998,91.1615343231069,84.9819282717426,83.122159968473,49.4024353049882,87.7808176990654,50.1167586387662,59.5719106539773,50.8762461408372,75.4246674401679,active,7
2202,Cody Ramirez S7,22,Australia,68.2044504284886,51.0583269756253,36.0321045122406,40.9760322633969,34.3344769232052,90.2565183366116,50.1719046226816,85.8791185860368,60.8798518252244,80.958898144268,60.320209045313,43.5812409143216,active,7
2203,Conall Horgan S7,21,Ireland,59.5598173579505,52.1025761707952,56.9839448439947,84.5245851152822,31.5356363007015,84.9747218731399,60.4550531141169,71.9176567992463,67.0111250461126,83.6613689587076,89.2030953755152,64.3121114103727,active,7
2204,Dumitru Stoica S7,21,Romania,30.3951094067645,58.4078504210472,63.7525184505847,83.0723809661266,89.6206886386317,52.1150167266857,50.2078475561633,58.4486899346405,63.4801635933947,46.3202852923931,74.8628815768264,59.5240297644579,active,7
2205,Nicholas Byrd S7,19,USA,51.3297318995063,53.5950353364001,61.5400136784001,84.6154702428649,84.7240552977986,44.719538513437,63.0614398409656,39.9051596592558,53.2198450205202,70.9925443617892,50.4348966332083,51.5747661831466,active,7
2206,Joshua Clark S7,19,USA,36.4128347842972,73.5382498902545,78.2366979897278,55.9934834734977,40.9678971002287,83.9432373488378,64.2061728933951,44.2275897189834,73.1536794231315,54.5111378051716,87.0720020778665,44.4793826926383,active,7
2207,Petar Vodopivec S7,21,Slovenia,72.411627831758,30.6585620515997,36.95351839308,89.0110553235474,68.4634488715624,75.9197243604874,76.7926852116923,84.106569944861,22.9270957288712,86.5439133431275,90.0623423317694,56.320022767039,active,7
2208,Rian Doorty S7,20,Ireland,34.529416473329,67.6594753495388,54.0658911544863,83.3378808792791,49.2173315492091,51.81911910021,72.9394074509826,60.8623627635087,37.9901253252835,72.8315539395172,46.403010116776,45.6072282668275,active,7
2209,Kevin Cole S7,19,USA,56.3739632458961,55.2754611951796,47.3203023701528,72.9055941911865,76.4282639204719,69.8913795439916,70.7562992565541,38.0047836892366,28.9053241587667,77.95586747792,52.5411357169709,44.6120767472569,active,7
2210,Dominic Kilgallen S7,22,Ireland,48.2671811200114,85.7706853635031,59.571604940871,81.2654592032217,39.8646137750429,52.1138576886867,78.2520966605176,69.4047987172335,25.7437298695226,71.2523334177223,62.3506946359473,35.1553954056926,active,7
2211,Ren Sasaki S7,20,Japan,66.0040317351053,57.4242845141168,34.0700487783191,62.6729135296561,71.0863413826993,37.7923534325162,79.2028148801064,31.8238582762758,61.2567315488924,60.3069744397752,60.1836087645774,80.6845956076855,active,7
2212,Greg Stevens S7,20,USA,39.4253418058806,44.0101353670232,71.8022792159376,47.2356081717383,61.4610217243981,85.3944288507325,78.6131259389454,57.5313268440889,31.3808743315583,40.6118568423546,85.8723319526688,73.5367983200186,active,7
2213,Andreas Jungfer S7,19,Germany,58.3175206846112,87.4454525577497,81.4811599209753,38.6798367366993,43.974151213371,60.1507753178646,61.2148339914543,49.4220154946729,68.0745648878306,82.7015439004223,64.4810803488075,51.9529422449802,active,7
2214,Bruce Owens S7,19,England,88.8701486193968,30.0640592844988,51.2479513595503,82.63312909459,87.940258084836,73.781606375682,71.7007236388276,65.6764767749782,77.0628678459376,35.8361004310503,49.4561006995085,77.8096158876543,active,7
2215,Diogo Castro S7,21,Portugal,80.0891086451964,76.1028191933686,31.2286061804145,77.4503415879407,41.8624632616318,67.3639338345764,49.1629108488344,54.1683380254659,45.0549080791243,43.5262228569362,47.0394887270072,33.3294112136272,active,7
2216,Christopher Norris S7,20,USA,65.4387900708716,40.0784519150939,36.421889128331,40.8612064617061,37.5012593688287,66.5240591409021,49.124286002077,33.9669232115388,75.8787127030701,53.953380970273,31.541008330372,82.3278175165868,active,7
2217,John Brown S7,21,South Africa,36.779877638535,83.7741864850857,37.151361058614,58.7484923636597,78.1103880378827,59.3075094732003,78.9349137528673,92.3609881064478,20.4436188234281,78.2550559138218,41.140152047241,75.1965688451372,active,7
2218,Christian Jacques S7,19,France,93.2370096809773,55.6804411808059,39.2770885250813,42.6719599299186,58.8022603634344,65.1876900890388,77.7793463312683,84.235059564308,56.6408322973598,84.1827195926171,85.4860038148832,39.747490495785,active,7
2219,Angel Lara S7,22,USA,82.7888052183086,49.6300788700182,32.2376723492968,77.8227030086619,53.5944359566534,48.5990140030402,53.9822109419368,60.1319781668611,71.4023283853335,52.9024728103583,32.5075428494926,65.1146735627828,active,7
2220,Stephen Johnson S7,20,Australia,38.4686493074474,87.5609984716347,78.1100778207876,88.3165971293489,66.760833985296,63.5771690533279,57.7415207840617,88.3991368503286,45.0700738723389,83.8273600254022,80.7260826249982,84.301142349966,active,7
2221,Richard Roy S7,21,Australia,54.7818828195728,92.5682001017966,51.2072441276159,49.5956029307919,55.9023394855952,54.1400914658687,83.1348288800614,70.779539440428,68.0251331958915,52.2181377029492,33.845570392853,48.6926807528528,active,7
2222,Krzysztof Ochab S7,20,Poland,87.6026999051616,57.7116458680861,93.282378309233,88.6911005595795,35.498104761401,73.6683745224586,46.7193002868396,55.9851803311481,20.9405699619284,33.38020012434,73.8470244102598,48.9651207901052,active,7
2223,Rihards Siliņš S7,19,Latvia,67.3701707891741,42.5048066672419,67.162859667995,61.2794059641395,34.6276501657046,47.3692906183545,79.9609331298219,43.6374781324684,53.7117727061737,36.6572432200234,63.8828478542881,58.0898590248477,active,7
2224,Petr Navrátil S7,21,Czech Republic,59.7824492862063,43.7295810884837,63.7631166095999,43.4779043907901,31.2432903129768,61.153571269119,78.6817575048437,40.0453069910879,34.6940417382841,86.2620337719864,62.4253169318583,90.1031120875829,active,7
2225,Laszlo Szabó S7,22,Hungary,84.2156463257803,38.1204499854176,88.0293361462331,41.9202478716526,47.8154275932293,51.7765503647491,60.7486516012226,79.0673190265172,31.3426373040104,94.4750460435828,31.785214824901,90.5049075508186,active,7
2226,Michael Russell S7,21,USA,65.4468235673986,72.3501328548448,64.4240947525512,67.6869058136744,94.6736109219612,65.1072197779555,59.7725391646631,58.2066497118626,31.3817315507408,76.1115358964178,85.839985726427,88.8327422623635,active,7
2227,Fredrik Thorén S7,22,Sweden,84.99775568802,93.0419156441488,48.41391664436,68.9570612195917,71.0018464692245,32.6948590965841,50.7210512510376,77.5049373286638,44.1535929393183,60.7844471204482,46.1789765409084,79.4696065917195,active,7
2228,Tomislav Sakač S7,20,Croatia,66.5119815236403,53.3681785452447,51.1154836721242,50.5140058642266,50.6351496268072,57.3506960286406,55.0501594189792,50.4195969882114,82.5284314169355,56.9112857089631,86.1169829169326,72.1434570944867,active,7
2229,Scott Diaz S7,22,USA,92.3141401475737,51.8462721069133,87.8276489521674,93.7325629439416,56.2208923741427,44.4909552807482,77.2686319867347,44.4334354255237,83.5598738894666,46.2085733280762,35.9322588385362,60.0808092392831,active,7
2230,Allen Smith S7,19,USA,42.8068419209509,42.6048591311774,71.764551326023,39.0690655044799,77.7064147927344,41.9180201527039,58.389075445384,77.3337788630622,36.1493643161312,80.9323550170824,56.8921994867766,55.7257519081376,active,7
2231,Vu Trần S7,20,Vietnam,73.0875450718255,54.9257527197297,82.0183719387342,67.3182220220053,71.6254934546235,39.5315499051854,70.0920306130561,79.5945685333916,46.0287349765776,74.4172643697561,67.9754918878174,79.062265940344,active,7
2232,Michael Nette S7,19,Germany,37.6356848445331,70.4357104295182,88.5638517240249,39.0072748246463,87.8121324413854,42.4612768221966,40.3946364577317,93.4910452724561,59.7290223144502,86.931770947494,68.59988035685,31.6806025553293,active,7
2233,Kelvin Cohen S7,21,Ireland,39.3614147113414,33.1151180091819,44.8097988048343,72.8900616689494,41.3564294047295,58.3527799135313,86.026188725718,65.1311405385148,77.309735836499,39.6153523010926,83.3483332299386,35.8482348507299,active,7
2234,Rory Sheerin S7,19,Ireland,72.6752501502943,31.0651872309533,85.1953367325056,86.8119433061082,78.1756334988982,40.8602213083496,82.8825492239038,61.0607681831932,65.7506870810452,41.0846402979794,89.522357809818,51.5291866389045,active,7
2235,Kenneth Charles S7,21,USA,63.5763055573829,80.0142966837583,50.2110505287326,32.0765414041468,77.222567606998,31.6866615080037,41.7038320198142,82.8647992697975,22.1273101201086,31.2440452875139,55.1296059401407,36.3919876210747,active,7
2236,Martin Kazík S7,22,Slovakia,64.2561889381875,91.9480916451518,33.2570372374221,58.9958288681271,41.7172324692485,93.1390037498703,88.1703692544929,54.9372658147375,71.4675220202359,66.7040459007499,53.4477063690473,58.5610502331415,active,7
2237,Cody McGahey S7,21,Ireland,78.5350955383869,88.6647832080902,81.6638658282349,72.9401381809562,73.1269641068837,37.3533684755946,65.8788368213217,72.9873177959162,34.6455746515199,71.8974985280379,50.308513879976,79.7819902224541,active,7
2238,Wim Postma S7,21,Netherlands,83.818680349872,68.6152839684673,55.0555750651301,38.6404815814571,75.1180295105547,69.8159206302857,51.2253562657737,46.4432077261221,57.2822962324612,30.1132396137144,74.4691150452809,84.5726168616534,active,7
2239,Cristian Salazar S7,22,USA,88.9598272648016,51.3758856126164,81.7196094505807,80.718603791081,38.6970515542741,73.7314451937626,59.3722266507775,90.0955706140439,48.6068065842374,94.8716030896515,44.3614674733451,48.6228530850756,active,7
2240,Ethan Hoffman S7,20,Australia,42.1867228883937,45.7779986779081,70.0784387900428,44.5152002728842,48.1136937053792,35.2265905708157,42.1937187070458,42.4968629822547,35.4744761058445,60.6762157747743,67.7792144046309,58.8155572112633,active,7
2241,Scott Torres S7,21,USA,82.105043778037,65.7371167925301,45.4099654726421,69.7563928762289,79.800177440356,30.5109601256103,56.0244007323249,30.6630099579889,34.4687470089675,30.3052939570773,93.7751459219695,83.8462411145217,active,7
2242,Keith Robinson S7,21,England,79.6171644702069,39.2877647965478,45.7328862368373,80.0835654206182,93.2741851733887,31.1023901434657,52.416963599497,82.6615839759836,74.8747670346597,69.1543371955623,31.9447371893062,57.4093515230898,active,7
